#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   45   64    929.265 0.384D+00     8.440 0.133D-01    20.589 0.263D-01
   46   64    940.014 0.402D+00    10.749 0.136D-01    19.189 0.260D-01
   47   64    947.403 0.444D+00     7.388 0.143D-01    18.137 0.268D-01
   48   64    957.013 0.493D+00     9.610 0.162D-01    16.998 0.289D-01
   49   64    963.261 0.517D+00     6.247 0.181D-01    15.857 0.324D-01
   50   64    971.358 0.470D+00     8.097 0.204D-01    14.344 0.335D-01
   51   64    975.126 0.412D+00     3.768 0.309D-01    11.865 0.477D-01
   52   64    980.692 0.442D+00     5.567 0.272D-01     9.335 0.566D-01
   53   64    983.375 0.458D+00     2.683 0.187D-01     8.249 0.420D-01
   54   64    987.986 0.450D+00     4.612 0.184D-01     7.294 0.342D-01
   55   64    989.959 0.440D+00     1.974 0.202D-01     6.585 0.361D-01
   56   64    993.692 0.469D+00     3.734 0.239D-01     5.707 0.428D-01
   57   64    994.559 0.539D+00     0.868 0.246D-01     4.602 0.476D-01
   58   64    997.116 0.609D+00     2.558 0.248D-01     3.426 0.479D-01
   59   64    996.815 0.672D+00    -0.301 0.288D-01     2.257 0.520D-01
   60   64    998.184 0.769D+00     1.370 0.359D-01     1.070 0.637D-01
   61   64    996.710 0.940D+00    -1.473 0.430D-01    -0.103 0.782D-01
   62   64    996.922 0.119D+01     0.214 0.489D-01    -1.259 0.912D-01
   63   64    994.335 0.150D+01    -2.586 0.540D-01    -2.372 0.102D+00
   64   64    993.470 0.184D+01    -0.863 0.593D-01    -3.448 0.113D+00
   65   64    989.016 0.222D+01    -4.451 0.645D-01    -5.314 0.123D+00
   66   64    986.317 0.262D+01    -2.697 0.687D-01    -7.149 0.133D+00
   67   64    980.908 0.303D+01    -5.407 0.710D-01    -8.105 0.139D+00
   68   64    977.248 0.343D+01    -3.658 0.711D-01    -9.065 0.142D+00
   69   64    970.904 0.382D+01    -6.343 0.693D-01   -10.001 0.140D+00
   70   64    966.257 0.418D+01    -4.647 0.662D-01   -10.990 0.135D+00
   23   65    516.198 0.497D+01     0.000 0.000D+00     0.000 0.000D+00
   24   65    545.147 0.476D+01    28.954 0.124D+00     0.000 0.000D+00
   25   65    572.244 0.448D+01    27.099 0.170D+00    56.053 0.271D+00
   26   65    600.916 0.440D+01    28.673 0.835D-01    55.773 0.249D+00
   27   65    627.083 0.417D+01    26.168 0.497D-01    54.842 0.126D+00
   28   65    653.943 0.385D+01    26.862 0.466D-01    53.030 0.941D-01
   29   65    676.778 0.350D+01    22.837 0.457D-01    49.699 0.916D-01
   30   65    700.225 0.313D+01    23.450 0.440D-01    46.287 0.892D-01
   31   65    721.003 0.276D+01    20.781 0.419D-01    44.231 0.853D-01
   32   65    742.521 0.237D+01    21.521 0.403D-01    42.301 0.816D-01
   33   65    761.400 0.198D+01    18.882 0.402D-01    40.402 0.799D-01
   34   65    781.124 0.157D+01    19.726 0.416D-01    38.608 0.812D-01
   35   65    798.233 0.116D+01    17.111 0.435D-01    36.837 0.846D-01
   36   65    816.316 0.802D+00    18.084 0.439D-01    35.195 0.871D-01
   37   65    831.824 0.563D+00    15.509 0.408D-01    33.593 0.844D-01
   38   65    848.449 0.500D+00    16.625 0.334D-01    32.134 0.738D-01
   39   65    862.269 0.533D+00    13.820 0.239D-01    30.445 0.563D-01
   40   65    877.717 0.565D+00    15.447 0.173D-01    29.266 0.393D-01
   41   65    889.809 0.568D+00    12.091 0.140D-01    27.538 0.295D-01
   42   65    903.205 0.531D+00    13.396 0.121D-01    25.487 0.243D-01
   43   65    913.971 0.468D+00    10.766 0.130D-01    24.162 0.235D-01
   44   65    926.057 0.411D+00    12.086 0.142D-01    22.852 0.264D-01
   45   65    935.327 0.383D+00     9.269 0.142D-01    21.355 0.278D-01
   46   65    946.020 0.392D+00    10.693 0.138D-01    19.962 0.271D-01
   47   65    954.145 0.428D+00     8.125 0.138D-01    18.818 0.265D-01
   48   65    963.744 0.474D+00     9.599 0.150D-01    17.724 0.273D-01
   49   65    970.520 0.499D+00     6.775 0.170D-01    16.374 0.303D-01
   50   65    978.973 0.457D+00     8.453 0.180D-01    15.228 0.309D-01
   51   65    983.263 0.383D+00     4.291 0.283D-01    12.744 0.421D-01
   52   65    989.084 0.406D+00     5.821 0.275D-01    10.112 0.544D-01
   53   65    992.301 0.432D+00     3.216 0.191D-01     9.037 0.430D-01
   54   65    997.084 0.439D+00     4.783 0.191D-01     8.000 0.356D-01
   55   65    999.563 0.443D+00     2.479 0.174D-01     7.262 0.348D-01
   56   65   1003.605 0.450D+00     4.043 0.185D-01     6.522 0.341D-01
   57   65   1004.932 0.468D+00     1.328 0.200D-01     5.370 0.374D-01
   58   65   1007.799 0.490D+00     2.867 0.219D-01     4.195 0.407D-01
   59   65   1007.920 0.526D+00     0.122 0.261D-01     2.989 0.470D-01
   60   65   1009.589 0.606D+00     1.670 0.311D-01     1.792 0.565D-01
   61   65   1008.517 0.748D+00    -1.071 0.353D-01     0.599 0.657D-01
   62   65   1009.048 0.945D+00     0.533 0.391D-01    -0.538 0.736D-01
   63   65   1006.857 0.119D+01    -2.188 0.441D-01    -1.656 0.823D-01
   64   65   1006.339 0.147D+01    -0.516 0.508D-01    -2.704 0.941D-01
   65   65   1003.100 0.180D+01    -3.236 0.581D-01    -3.752 0.108D+00
   66   65   1000.792 0.218D+01    -2.306 0.646D-01    -5.543 0.122D+00
   67   65    995.807 0.258D+01    -4.983 0.692D-01    -7.289 0.134D+00
   68   65    992.524 0.300D+01    -3.282 0.713D-01    -8.265 0.140D+00
   69   65    986.595 0.342D+01    -5.927 0.710D-01    -9.209 0.142D+00
   70   65    982.301 0.382D+01    -4.293 0.689D-01   -10.220 0.140D+00
   22   66    484.377 0.432D+01     0.000 0.000D+00     0.000 0.000D+00
   23   66    513.528 0.488D+01    29.152 0.187D+00     0.000 0.000D+00
   24   66    543.668 0.486D+01    30.144 0.117D+00    59.296 0.244D+00
   25   66    570.534 0.457D+01    26.869 0.182D+00    57.013 0.263D+00
   26   66    600.267 0.454D+01    29.734 0.960D-01    56.602 0.273D+00
   27   66    626.359 0.437D+01    26.093 0.535D-01    55.826 0.141D+00
   28   66    654.258 0.409D+01    27.900 0.484D-01    53.993 0.991D-01
   29   66    677.046 0.375D+01    22.790 0.475D-01    50.690 0.950D-01
   30   66    701.471 0.340D+01    24.428 0.459D-01    47.218 0.928D-01
   31   66    722.225 0.302D+01    20.756 0.439D-01    45.183 0.893D-01
   32   66    744.658 0.263D+01    22.436 0.423D-01    43.192 0.856D-01
   33   66    763.545 0.223D+01    18.890 0.419D-01    41.326 0.835D-01
   34   66    784.130 0.180D+01    20.587 0.431D-01    39.476 0.844D-01
   35   66    801.299 0.137D+01    17.172 0.453D-01    37.758 0.879D-01
   36   66    820.190 0.960D+00    18.892 0.466D-01    36.064 0.915D-01
   37   66    835.768 0.635D+00    15.579 0.449D-01    34.471 0.912D-01
   38   66    853.144 0.484D+00    17.376 0.386D-01    32.956 0.831D-01
   39   66    867.352 0.492D+00    14.207 0.286D-01    31.583 0.665D-01
   40   66    883.487 0.536D+00    16.135 0.198D-01    30.342 0.467D-01
   41   66    895.414 0.560D+00    11.926 0.157D-01    28.061 0.334D-01
   42   66    909.782 0.548D+00    14.368 0.132D-01    26.294 0.272D-01
   43   66    920.465 0.498D+00    10.683 0.128D-01    25.051 0.241D-01
   44   66    933.454 0.436D+00    12.989 0.145D-01    23.671 0.262D-01
   45   66    942.683 0.398D+00     9.229 0.152D-01    22.218 0.292D-01
   46   66    954.190 0.396D+00    11.507 0.147D-01    20.736 0.294D-01
   47   66    962.279 0.424D+00     8.089 0.139D-01    19.596 0.277D-01
   48   66    972.621 0.461D+00    10.343 0.141D-01    18.432 0.265D-01
   49   66    979.417 0.480D+00     6.795 0.160D-01    17.138 0.283D-01
   50   66    988.406 0.441D+00     8.990 0.164D-01    15.785 0.292D-01
   51   66    992.968 0.361D+00     4.563 0.254D-01    13.552 0.373D-01
   52   66    999.331 0.378D+00     6.363 0.271D-01    10.926 0.512D-01
   53   66   1002.842 0.417D+00     3.510 0.193D-01     9.873 0.432D-01
   54   66   1008.090 0.433D+00     5.248 0.200D-01     8.758 0.365D-01
   55   66   1010.799 0.450D+00     2.708 0.172D-01     7.957 0.361D-01
   56   66   1015.344 0.449D+00     4.546 0.147D-01     7.254 0.298D-01
   57   66   1017.007 0.437D+00     1.663 0.166D-01     6.209 0.298D-01
   58   66   1020.341 0.427D+00     3.334 0.199D-01     4.997 0.356D-01
   59   66   1020.783 0.442D+00     0.443 0.239D-01     3.777 0.432D-01
   60   66   1022.882 0.506D+00     2.099 0.270D-01     2.542 0.505D-01
   61   66   1022.141 0.617D+00    -0.740 0.290D-01     1.360 0.554D-01
   62   66   1023.087 0.765D+00     0.949 0.313D-01     0.209 0.594D-01
   63   66   1021.259 0.948D+00    -1.826 0.360D-01    -0.877 0.664D-01
   64   66   1021.138 0.118D+01    -0.118 0.433D-01    -1.944 0.786D-01
   65   66   1018.281 0.146D+01    -2.854 0.518D-01    -2.973 0.946D-01
   66   66   1017.158 0.181D+01    -1.121 0.600D-01    -3.975 0.112D+00
   67   66   1012.521 0.221D+01    -4.635 0.666D-01    -5.756 0.126D+00
   68   66   1009.607 0.263D+01    -2.913 0.708D-01    -7.547 0.137D+00
   69   66   1004.008 0.307D+01    -5.598 0.722D-01    -8.511 0.143D+00
   70   66   1000.092 0.351D+01    -3.915 0.713D-01    -9.513 0.143D+00
   24   67    540.611 0.495D+01     0.000 0.000D+00     0.000 0.000D+00
   25   67    568.448 0.461D+01    27.840 0.191D+00     0.000 0.000D+00
   26   67    597.967 0.462D+01    29.520 0.111D+00    57.359 0.297D+00
   27   67    625.097 0.450D+01    27.130 0.594D-01    56.649 0.162D+00
   28   67    652.869 0.427D+01    27.773 0.516D-01    54.903 0.108D+00
   29   67    676.632 0.397D+01    23.765 0.497D-01    51.538 0.100D+00
   30   67    700.945 0.364D+01    24.315 0.478D-01    48.079 0.967D-01
   31   67    722.611 0.328D+01    21.668 0.458D-01    45.982 0.928D-01
   32   67    744.965 0.290D+01    22.357 0.441D-01    44.025 0.891D-01
   33   67    764.704 0.249D+01    19.741 0.436D-01    42.099 0.869D-01
   34   67    785.263 0.206D+01    20.561 0.446D-01    40.302 0.874D-01
   35   67    803.228 0.161D+01    17.967 0.468D-01    38.528 0.908D-01
   36   67    822.123 0.116D+01    18.896 0.488D-01    36.864 0.951D-01
   37   67    838.459 0.764D+00    16.337 0.484D-01    35.234 0.968D-01
   38   67    855.844 0.506D+00    17.385 0.435D-01    33.722 0.916D-01
   39   67    870.752 0.449D+00    14.908 0.339D-01    32.293 0.769D-01
   40   67    886.913 0.492D+00    16.161 0.233D-01    31.068 0.559D-01
   41   67    899.497 0.535D+00    12.583 0.174D-01    28.744 0.383D-01
   42   67    913.694 0.551D+00    14.197 0.148D-01    26.780 0.303D-01
   43   67    925.319 0.525D+00    11.626 0.131D-01    25.822 0.259D-01
   44   67    938.228 0.472D+00    12.909 0.144D-01    24.534 0.257D-01
   45   67    948.328 0.426D+00    10.100 0.162D-01    23.009 0.298D-01
   46   67    959.772 0.415D+00    11.445 0.163D-01    21.545 0.319D-01
   47   67    968.657 0.434D+00     8.885 0.150D-01    20.330 0.306D-01
   48   67    978.951 0.460D+00    10.294 0.140D-01    19.179 0.276D-01
   49   67    986.480 0.470D+00     7.530 0.154D-01    17.824 0.276D-01
   50   67    995.478 0.432D+00     8.999 0.159D-01    16.529 0.289D-01
   51   67   1000.581 0.356D+00     5.104 0.228D-01    14.102 0.341D-01
   52   67   1007.323 0.367D+00     6.742 0.263D-01    11.846 0.478D-01
   53   67   1011.364 0.413D+00     4.040 0.194D-01    10.782 0.429D-01
   54   67   1016.877 0.433D+00     5.512 0.208D-01     9.553 0.369D-01
   55   67   1019.875 0.453D+00     2.998 0.187D-01     8.510 0.384D-01
   56   67   1024.696 0.453D+00     4.820 0.135D-01     7.818 0.306D-01
   57   67   1026.837 0.431D+00     2.141 0.147D-01     6.962 0.264D-01
   58   67   1030.454 0.408D+00     3.616 0.187D-01     5.758 0.327D-01
   59   67   1031.335 0.412D+00     0.881 0.220D-01     4.498 0.402D-01
   60   67   1033.732 0.457D+00     2.398 0.237D-01     3.279 0.453D-01
   61   67   1033.411 0.536D+00    -0.319 0.244D-01     2.078 0.475D-01
   62   67   1034.662 0.640D+00     1.253 0.259D-01     0.934 0.494D-01
   63   67   1033.230 0.774D+00    -1.429 0.301D-01    -0.176 0.551D-01
   64   67   1033.439 0.955D+00     0.211 0.371D-01    -1.218 0.665D-01
   65   67   1030.963 0.120D+01    -2.474 0.458D-01    -2.263 0.824D-01
   66   67   1030.181 0.151D+01    -0.779 0.550D-01    -3.253 0.100D+00
   67   67   1026.717 0.189D+01    -3.462 0.632D-01    -4.242 0.118D+00
   68   67   1024.176 0.231D+01    -2.540 0.693D-01    -6.002 0.132D+00
   69   67   1018.959 0.276D+01    -5.215 0.726D-01    -7.755 0.142D+00
   70   67   1015.395 0.322D+01    -3.562 0.731D-01    -8.778 0.146D+00
   23   68    507.720 0.462D+01     0.000 0.000D+00     0.000 0.000D+00
   24   68    538.944 0.503D+01    31.227 0.126D+00     0.000 0.000D+00
   25   68    566.526 0.463D+01    27.584 0.196D+00    58.811 0.236D+00
   26   68    597.105 0.463D+01    30.579 0.127D+00    58.163 0.318D+00
   27   68    624.133 0.456D+01    27.029 0.675D-01    57.608 0.186D+00
   28   68    652.954 0.439D+01    28.820 0.566D-01    55.849 0.120D+00
   29   68    676.656 0.415D+01    23.704 0.530D-01    52.524 0.108D+00
   30   68    701.948 0.386D+01    25.293 0.499D-01    48.996 0.102D+00
   31   68    723.574 0.353D+01    21.628 0.474D-01    46.921 0.964D-01
   32   68    746.835 0.316D+01    23.264 0.456D-01    44.892 0.921D-01
   33   68    766.561 0.277D+01    19.728 0.450D-01    42.991 0.897D-01
   34   68    787.968 0.234D+01    21.409 0.459D-01    41.137 0.901D-01
   35   68    805.963 0.188D+01    17.997 0.481D-01    39.406 0.933D-01
   36   68    825.657 0.141D+01    19.696 0.506D-01    37.693 0.982D-01
   37   68    842.039 0.964D+00    16.383 0.514D-01    36.079 0.102D+00
   38   68    860.171 0.616D+00    18.132 0.481D-01    34.515 0.991D-01
   39   68    875.127 0.455D+00    14.956 0.396D-01    33.088 0.873D-01
   40   68    891.995 0.462D+00    16.867 0.280D-01    31.823 0.667D-01
   41   68    904.941 0.509D+00    12.946 0.196D-01    29.813 0.454D-01
   42   68    919.802 0.545D+00    14.861 0.165D-01    27.807 0.338D-01
   43   68    931.304 0.546D+00    11.502 0.141D-01    26.363 0.287D-01
   44   68    945.166 0.507D+00    13.863 0.140D-01    25.365 0.258D-01
   45   68    955.200 0.459D+00    10.035 0.167D-01    23.898 0.295D-01
   46   68    967.528 0.437D+00    12.328 0.179D-01    22.363 0.340D-01
   47   68    976.363 0.449D+00     8.836 0.169D-01    21.164 0.343D-01
   48   68    987.449 0.470D+00    11.087 0.150D-01    19.923 0.308D-01
   49   68    994.969 0.475D+00     7.521 0.156D-01    18.608 0.288D-01
   50   68   1004.698 0.441D+00     9.730 0.163D-01    17.251 0.301D-01
   51   68   1009.851 0.374D+00     5.154 0.209D-01    14.884 0.329D-01
   52   68   1017.147 0.377D+00     7.296 0.253D-01    12.450 0.446D-01
   53   68   1021.452 0.419D+00     4.304 0.198D-01    11.600 0.424D-01
   54   68   1027.495 0.434D+00     6.041 0.215D-01    10.346 0.374D-01
   55   68   1030.649 0.448D+00     3.153 0.210D-01     9.195 0.410D-01
   56   68   1035.833 0.450D+00     5.183 0.151D-01     8.336 0.346D-01
   57   68   1038.275 0.429D+00     2.442 0.147D-01     7.625 0.276D-01
   58   68   1042.359 0.408D+00     4.083 0.180D-01     6.525 0.319D-01
   59   68   1043.556 0.409D+00     1.197 0.203D-01     5.280 0.379D-01
   60   68   1046.399 0.437D+00     2.845 0.211D-01     4.042 0.409D-01
   61   68   1046.408 0.486D+00     0.011 0.214D-01     2.855 0.419D-01
   62   68   1048.091 0.556D+00     1.685 0.228D-01     1.695 0.434D-01
   63   68   1047.002 0.653D+00    -1.086 0.262D-01     0.599 0.482D-01
   64   68   1047.613 0.794D+00     0.613 0.321D-01    -0.473 0.576D-01
   65   68   1045.487 0.996D+00    -2.123 0.403D-01    -1.510 0.717D-01
   66   68   1045.085 0.127D+01    -0.400 0.498D-01    -2.523 0.897D-01
   67   68   1041.979 0.162D+01    -3.104 0.592D-01    -3.504 0.109D+00
   68   68   1040.575 0.203D+01    -1.402 0.669D-01    -4.506 0.126D+00
   69   68   1035.686 0.249D+01    -4.888 0.720D-01    -6.290 0.139D+00
   70   68   1032.470 0.295D+01    -3.215 0.741D-01    -8.103 0.146D+00
   72   68   1022.458 0.385D+01     0.000 0.000D+00   -10.010 0.144D+00
   24   69    535.726 0.509D+01     0.000 0.000D+00     0.000 0.000D+00
   25   69    564.308 0.463D+01    28.585 0.195D+00     0.000 0.000D+00
   26   69    594.618 0.458D+01    30.310 0.145D+00    58.894 0.334D+00
   27   69    622.696 0.455D+01    28.078 0.771D-01    58.387 0.212D+00
   28   69    651.369 0.444D+01    28.672 0.634D-01    56.750 0.136D+00
   29   69    676.055 0.427D+01    24.687 0.579D-01    53.359 0.120D+00
   30   69    701.228 0.404D+01    25.173 0.530D-01    49.860 0.110D+00
   31   69    723.755 0.377D+01    22.529 0.491D-01    47.702 0.101D+00
   32   69    746.921 0.344D+01    23.168 0.468D-01    45.696 0.947D-01
   33   69    767.498 0.307D+01    20.579 0.461D-01    43.747 0.918D-01
   34   69    788.838 0.265D+01    21.341 0.471D-01    41.920 0.922D-01
   35   69    807.627 0.219D+01    18.791 0.493D-01    40.133 0.956D-01
   36   69    827.286 0.171D+01    19.661 0.522D-01    38.453 0.101D+00
   37   69    844.422 0.123D+01    17.137 0.540D-01    36.798 0.106D+00
   38   69    862.550 0.823D+00    18.130 0.524D-01    35.266 0.106D+00
   39   69    878.204 0.559D+00    15.654 0.455D-01    33.784 0.976D-01
   40   69    895.064 0.482D+00    16.860 0.340D-01    32.515 0.789D-01
   41   69    908.662 0.501D+00    13.598 0.231D-01    30.458 0.553D-01
   42   69    923.574 0.536D+00    14.912 0.184D-01    28.510 0.388D-01
   43   69    935.744 0.554D+00    12.170 0.159D-01    27.082 0.324D-01
   44   69    949.472 0.532D+00    13.729 0.141D-01    25.900 0.275D-01
   45   69    960.451 0.484D+00    10.980 0.166D-01    24.710 0.287D-01
   46   69    972.698 0.453D+00    12.248 0.192D-01    23.228 0.350D-01
   47   69    982.380 0.460D+00     9.683 0.190D-01    21.930 0.377D-01
   48   69    993.421 0.484D+00    11.042 0.168D-01    20.725 0.349D-01
   49   69   1001.709 0.491D+00     8.289 0.165D-01    19.331 0.315D-01
   50   69   1011.422 0.467D+00     9.714 0.174D-01    18.003 0.324D-01
   51   69   1017.294 0.414D+00     5.872 0.199D-01    15.586 0.337D-01
   52   69   1024.618 0.405D+00     7.324 0.243D-01    13.196 0.421D-01
   53   69   1029.458 0.430D+00     4.839 0.205D-01    12.163 0.422D-01
   54   69   1035.873 0.435D+00     6.413 0.226D-01    11.252 0.389D-01
   55   69   1039.528 0.439D+00     3.654 0.235D-01    10.067 0.442D-01
   56   69   1044.621 0.438D+00     5.092 0.181D-01     8.746 0.399D-01
   57   69   1047.544 0.422D+00     2.922 0.159D-01     8.014 0.318D-01
   58   69   1051.889 0.409D+00     4.345 0.178D-01     7.267 0.327D-01
   59   69   1053.538 0.410D+00     1.650 0.189D-01     5.994 0.362D-01
   60   69   1056.657 0.426D+00     3.120 0.192D-01     4.769 0.375D-01
   61   69   1057.104 0.454D+00     0.448 0.197D-01     3.568 0.381D-01
   62   69   1059.075 0.499D+00     1.973 0.212D-01     2.422 0.402D-01
   63   69   1058.404 0.570D+00    -0.669 0.237D-01     1.305 0.442D-01
   64   69   1059.319 0.678D+00     0.918 0.281D-01     0.249 0.511D-01
   65   69   1057.585 0.843D+00    -1.732 0.353D-01    -0.814 0.627D-01
   66   69   1057.491 0.108D+01    -0.092 0.448D-01    -1.824 0.796D-01
   67   69   1054.741 0.140D+01    -2.748 0.548D-01    -2.840 0.993D-01
   68   69   1053.662 0.179D+01    -1.077 0.638D-01    -3.826 0.118D+00
   69   69   1049.906 0.224D+01    -3.754 0.703D-01    -4.831 0.134D+00
   70   69   1047.033 0.270D+01    -2.872 0.740D-01    -6.626 0.144D+00
   72   69   1037.707 0.363D+01     0.000 0.000D+00    -9.325 0.148D+00
   24   70    533.834 0.515D+01     0.000 0.000D+00     0.000 0.000D+00
   25   70    562.136 0.463D+01    28.305 0.189D+00     0.000 0.000D+00
   26   70    593.493 0.450D+01    31.358 0.163D+00    59.663 0.345D+00
   27   70    621.439 0.449D+01    27.944 0.878D-01    59.302 0.241D+00
   28   70    651.188 0.443D+01    29.748 0.713D-01    57.693 0.154D+00
   29   70    675.794 0.434D+01    24.606 0.644D-01    54.354 0.135D+00
   30   70    701.953 0.420D+01    26.159 0.574D-01    50.764 0.121D+00
   31   70    724.413 0.400D+01    22.461 0.514D-01    48.620 0.108D+00
   32   70    748.493 0.373D+01    24.081 0.478D-01    46.542 0.978D-01
   33   70    769.019 0.339D+01    20.528 0.468D-01    44.609 0.932D-01
   34   70    791.216 0.299D+01    22.199 0.479D-01    42.727 0.935D-01
   35   70    809.985 0.255D+01    18.771 0.505D-01    40.969 0.974D-01
   36   70    830.456 0.206D+01    20.473 0.538D-01    39.243 0.103D+00
   37   70    847.602 0.156D+01    17.149 0.566D-01    37.621 0.110D+00
   38   70    866.489 0.110D+01    18.888 0.567D-01    36.037 0.113D+00
   39   70    882.173 0.749D+00    15.685 0.517D-01    34.573 0.108D+00
   40   70    899.737 0.568D+00    17.565 0.411D-01    33.250 0.923D-01
   41   70    913.372 0.522D+00    13.635 0.285D-01    31.200 0.684D-01
   42   70    928.954 0.528D+00    15.582 0.210D-01    29.217 0.469D-01
   43   70    941.521 0.545D+00    12.568 0.182D-01    28.150 0.370D-01
   44   70    955.933 0.537D+00    14.414 0.152D-01    26.982 0.312D-01
   45   70    966.836 0.496D+00    10.904 0.161D-01    25.318 0.286D-01
   46   70    980.016 0.459D+00    13.181 0.198D-01    24.085 0.347D-01
   47   70    989.659 0.463D+00     9.645 0.208D-01    22.826 0.400D-01
   48   70   1001.539 0.493D+00    11.880 0.189D-01    21.525 0.389D-01
   49   70   1009.814 0.511D+00     8.276 0.178D-01    20.156 0.348D-01
   50   70   1020.283 0.500D+00    10.470 0.190D-01    18.746 0.352D-01
   51   70   1026.161 0.464D+00     5.878 0.199D-01    16.348 0.359D-01
   52   70   1034.196 0.446D+00     8.035 0.235D-01    13.913 0.409D-01
   53   70   1039.072 0.447D+00     4.875 0.215D-01    12.910 0.424D-01
   54   70   1046.020 0.435D+00     6.946 0.241D-01    11.821 0.416D-01
   55   70   1049.919 0.430D+00     3.897 0.263D-01    10.843 0.482D-01
   56   70   1055.496 0.427D+00     5.575 0.213D-01     9.472 0.455D-01
   57   70   1058.319 0.414D+00     2.822 0.176D-01     8.397 0.366D-01
   58   70   1063.139 0.404D+00     4.820 0.180D-01     7.642 0.343D-01
   59   70   1065.087 0.405D+00     1.949 0.181D-01     6.769 0.354D-01
   60   70   1068.668 0.413D+00     3.582 0.180D-01     5.531 0.354D-01
   61   70   1069.429 0.428D+00     0.762 0.189D-01     4.344 0.361D-01
   62   70   1071.844 0.458D+00     2.417 0.203D-01     3.180 0.386D-01
   63   70   1071.494 0.511D+00    -0.347 0.219D-01     2.070 0.416D-01
   64   70   1072.817 0.592D+00     1.325 0.250D-01     0.978 0.461D-01
   65   70   1071.416 0.721D+00    -1.399 0.311D-01    -0.074 0.552D-01
   66   70   1071.701 0.923D+00     0.287 0.401D-01    -1.112 0.706D-01
   67   70   1069.287 0.121D+01    -2.413 0.504D-01    -2.126 0.902D-01
   68   70   1068.560 0.158D+01    -0.725 0.601D-01    -3.138 0.110D+00
   69   70   1065.146 0.201D+01    -3.413 0.678D-01    -4.137 0.128D+00
   70   70   1063.374 0.247D+01    -1.771 0.729D-01    -5.184 0.140D+00
   72   70   1054.686 0.340D+01     0.000 0.000D+00    -8.685 0.150D+00
   24   71    530.495 0.519D+01     0.000 0.000D+00     0.000 0.000D+00
   25   71    559.780 0.466D+01    29.287 0.177D+00     0.000 0.000D+00
   26   71    590.791 0.439D+01    31.012 0.181D+00    60.299 0.348D+00
   27   71    619.748 0.438D+01    28.956 0.989D-01    59.968 0.269D+00
   28   71    649.316 0.437D+01    29.567 0.796D-01    58.522 0.173D+00
   29   71    674.927 0.436D+01    25.610 0.719D-01    55.176 0.151D+00
   30   71    700.947 0.432D+01    26.020 0.631D-01    51.629 0.134D+00
   31   71    724.315 0.422D+01    23.368 0.547D-01    49.388 0.117D+00
   32   71    748.251 0.402D+01    23.937 0.489D-01    47.305 0.102D+00
   33   71    769.617 0.374D+01    21.366 0.470D-01    45.303 0.942D-01
   34   71    791.699 0.338D+01    22.084 0.482D-01    43.451 0.937D-01
   35   71    811.244 0.294D+01    19.547 0.514D-01    41.631 0.984D-01
   36   71    831.634 0.245D+01    20.392 0.556D-01    39.938 0.106D+00
   37   71    849.521 0.193D+01    17.890 0.595D-01    38.282 0.114D+00
   38   71    868.338 0.142D+01    18.819 0.612D-01    36.709 0.120D+00
   39   71    884.708 0.985D+00    16.372 0.582D-01    35.191 0.119D+00
   40   71    902.231 0.699D+00    17.524 0.491D-01    33.896 0.107D+00
   41   71    916.523 0.567D+00    14.293 0.357D-01    31.817 0.840D-01
   42   71    932.127 0.524D+00    15.604 0.249D-01    29.897 0.585D-01
   43   71    945.380 0.522D+00    13.255 0.207D-01    28.859 0.430D-01
   44   71    959.920 0.523D+00    14.541 0.173D-01    27.796 0.360D-01
   45   71    971.529 0.494D+00    11.610 0.160D-01    26.152 0.304D-01
   46   71    984.653 0.456D+00    13.126 0.197D-01    24.736 0.337D-01
   47   71    995.232 0.457D+00    10.580 0.221D-01    23.706 0.409D-01
   48   71   1007.081 0.493D+00    11.850 0.207D-01    22.431 0.419D-01
   49   71   1016.201 0.523D+00     9.120 0.192D-01    20.970 0.381D-01
   50   71   1026.659 0.528D+00    10.459 0.205D-01    19.579 0.380D-01
   51   71   1033.261 0.510D+00     6.602 0.207D-01    17.061 0.388D-01
   52   71   1041.240 0.488D+00     7.979 0.231D-01    14.581 0.409D-01
   53   71   1046.783 0.467D+00     5.541 0.224D-01    13.520 0.428D-01
   54   71   1053.734 0.437D+00     6.949 0.260D-01    12.490 0.445D-01
   55   71   1058.120 0.425D+00     4.383 0.293D-01    11.332 0.530D-01
   56   71   1064.015 0.424D+00     5.894 0.246D-01    10.277 0.516D-01
   57   71   1067.166 0.411D+00     3.149 0.192D-01     9.043 0.412D-01
   58   71   1072.074 0.398D+00     4.908 0.183D-01     8.058 0.358D-01
   59   71   1074.498 0.393D+00     2.424 0.180D-01     7.333 0.355D-01
   60   71   1078.337 0.394D+00     3.841 0.178D-01     6.265 0.350D-01
   61   71   1079.537 0.404D+00     1.202 0.186D-01     5.042 0.357D-01
   62   71   1082.230 0.429D+00     2.695 0.197D-01     3.896 0.378D-01
   63   71   1082.304 0.469D+00     0.077 0.204D-01     2.771 0.396D-01
   64   71   1083.917 0.526D+00     1.615 0.223D-01     1.691 0.418D-01
   65   71   1082.901 0.621D+00    -1.014 0.274D-01     0.600 0.487D-01
