#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   22   20    346.820 0.867D+00     4.207 0.130D-01     5.518 0.282D-01
   23   20    347.035 0.774D+00     0.215 0.146D-01     4.421 0.259D-01
   24   20    350.157 0.749D+00     3.122 0.175D-01     3.337 0.311D-01
   25   20    348.825 0.793D+00    -1.332 0.165D-01     1.790 0.328D-01
   26   20    350.483 0.780D+00     1.658 0.168D-01     0.326 0.301D-01
   27   20    348.195 0.814D+00    -2.288 0.231D-01    -0.630 0.382D-01
   28   20    348.596 0.106D+01     0.402 0.271D-01    -1.886 0.496D-01
   29   20    343.239 0.142D+01    -5.358 0.279D-01    -4.956 0.544D-01
   30   20    340.045 0.181D+01    -3.194 0.286D-01    -8.552 0.556D-01
   32   20    327.780 0.234D+01     0.000 0.000D+00   -12.267 0.517D-01
   20   21    350.196 0.884D+00     9.007 0.387D-01    15.062 0.752D-01
   21   21    354.514 0.853D+00     4.318 0.185D-01    13.326 0.560D-01
   22   21    359.616 0.772D+00     5.103 0.124D-01     9.421 0.282D-01
   23   21    360.816 0.665D+00     1.200 0.144D-01     6.303 0.250D-01
   24   21    364.712 0.651D+00     3.896 0.170D-01     5.096 0.305D-01
   25   21    364.394 0.702D+00    -0.318 0.154D-01     3.578 0.313D-01
   26   21    366.715 0.686D+00     2.321 0.162D-01     2.002 0.286D-01
   27   21    365.421 0.719D+00    -1.293 0.216D-01     1.027 0.363D-01
   28   21    366.374 0.932D+00     0.953 0.247D-01    -0.340 0.455D-01
   29   21    362.069 0.126D+01    -4.305 0.273D-01    -3.352 0.509D-01
   30   21    359.383 0.166D+01    -2.686 0.307D-01    -6.991 0.570D-01
   32   21    348.710 0.208D+01     0.000 0.000D+00   -10.675 0.464D-01
   34   21    335.188 0.187D+01     0.000 0.000D+00   -13.521 0.607D-01
   20   22    362.094 0.821D+00     9.937 0.405D-01    16.819 0.749D-01
   21   22    367.270 0.780D+00     5.177 0.200D-01    15.113 0.596D-01
   22   22    375.225 0.696D+00     7.956 0.121D-01    13.132 0.292D-01
   23   22    377.142 0.587D+00     1.917 0.142D-01     9.873 0.243D-01
   24   22    381.853 0.589D+00     4.711 0.165D-01     6.628 0.299D-01
   25   22    382.157 0.642D+00     0.304 0.147D-01     5.015 0.300D-01
   26   22    385.303 0.622D+00     3.146 0.158D-01     3.451 0.277D-01
   27   22    384.503 0.651D+00    -0.800 0.202D-01     2.346 0.346D-01
   28   22    386.281 0.829D+00     1.778 0.228D-01     0.978 0.417D-01
   29   22    382.429 0.114D+01    -3.852 0.272D-01    -2.074 0.484D-01
   30   22    380.662 0.151D+01    -1.767 0.304D-01    -5.619 0.566D-01
   31   22    374.941 0.174D+01    -5.722 0.246D-01    -7.489 0.535D-01
   32   22    371.493 0.174D+01    -3.448 0.225D-01    -9.170 0.424D-01
   34   22    359.598 0.171D+01     0.000 0.000D+00   -11.894 0.548D-01
   20   23    370.440 0.769D+00    10.559 0.415D-01    18.431 0.752D-01
   21   23    376.446 0.708D+00     6.006 0.219D-01    16.565 0.624D-01
   22   23    385.090 0.635D+00     8.644 0.125D-01    14.650 0.314D-01
   23   23    389.823 0.541D+00     4.733 0.141D-01    13.377 0.244D-01
   24   23    395.339 0.558D+00     5.517 0.161D-01    10.250 0.292D-01
   25   23    396.524 0.607D+00     1.185 0.147D-01     6.702 0.293D-01
   26   23    400.349 0.591D+00     3.825 0.156D-01     5.010 0.277D-01
   27   23    400.398 0.610D+00     0.049 0.187D-01     3.874 0.328D-01
   28   23    402.719 0.763D+00     2.321 0.219D-01     2.370 0.390D-01
   29   23    399.784 0.105D+01    -2.936 0.264D-01    -0.614 0.467D-01
   30   23    398.576 0.131D+01    -1.208 0.254D-01    -4.143 0.505D-01
   31   23    393.893 0.139D+01    -4.683 0.217D-01    -5.891 0.440D-01
   32   23    391.059 0.141D+01    -2.833 0.238D-01    -7.517 0.434D-01
   34   23    380.845 0.157D+01     0.000 0.000D+00   -10.213 0.471D-01
   36   23    368.173 0.177D+01     0.000 0.000D+00   -12.672 0.551D-01
   20   24    381.726 0.739D+00    11.486 0.416D-01    20.075 0.773D-01
   21   24    388.434 0.640D+00     6.708 0.239D-01    18.194 0.641D-01
   22   24    397.921 0.585D+00     9.487 0.135D-01    16.195 0.343D-01
   23   24    403.457 0.524D+00     5.536 0.142D-01    15.023 0.253D-01
   24   24    411.629 0.547D+00     8.172 0.157D-01    13.708 0.286D-01
   25   24    413.452 0.587D+00     1.823 0.152D-01     9.995 0.292D-01
   26   24    417.967 0.584D+00     4.516 0.156D-01     6.339 0.287D-01
   27   24    418.508 0.606D+00     0.541 0.177D-01     5.057 0.314D-01
   28   24    421.493 0.748D+00     2.985 0.217D-01     3.526 0.377D-01
   29   24    419.043 0.951D+00    -2.450 0.226D-01     0.535 0.430D-01
   30   24    418.698 0.103D+01    -0.345 0.195D-01    -2.795 0.396D-01
   31   24    414.566 0.105D+01    -4.131 0.213D-01    -4.477 0.384D-01
   32   24    412.711 0.114D+01    -1.855 0.224D-01    -5.986 0.430D-01
   33   24    407.206 0.128D+01    -5.505 0.217D-01    -7.359 0.436D-01
   34   24    404.012 0.142D+01    -3.194 0.214D-01    -8.698 0.425D-01
   36   24    392.796 0.163D+01     0.000 0.000D+00   -11.216 0.488D-01
   20   25    389.122 0.735D+00    11.982 0.409D-01    21.639 0.820D-01
   21   25    396.685 0.583D+00     7.563 0.256D-01    19.544 0.645D-01
   22   25    406.750 0.545D+00    10.064 0.151D-01    17.627 0.373D-01
   23   25    413.095 0.528D+00     6.345 0.145D-01    16.409 0.272D-01
   24   25    421.909 0.551D+00     8.813 0.152D-01    15.158 0.279D-01
   25   25    426.334 0.573D+00     4.426 0.160D-01    13.239 0.293D-01
   26   25    431.548 0.595D+00     5.215 0.161D-01     9.641 0.302D-01
   27   25    432.805 0.650D+00     1.257 0.176D-01     6.472 0.314D-01
   28   25    436.347 0.753D+00     3.542 0.201D-01     4.799 0.360D-01
   29   25    434.747 0.792D+00    -1.600 0.179D-01     1.942 0.361D-01
   30   25    435.080 0.758D+00     0.333 0.179D-01    -1.267 0.332D-01
   31   25    431.940 0.796D+00    -3.140 0.195D-01    -2.807 0.362D-01
   32   25    430.730 0.924D+00    -1.209 0.204D-01    -4.348 0.391D-01
   33   25    426.227 0.109D+01    -4.503 0.210D-01    -5.712 0.409D-01
   34   25    423.593 0.125D+01    -2.633 0.210D-01    -7.137 0.415D-01
   36   25    413.905 0.151D+01     0.000 0.000D+00    -9.688 0.446D-01
   38   25    401.915 0.183D+01     0.000 0.000D+00   -11.991 0.600D-01
   20   26    399.437 0.756D+00    12.940 0.398D-01    23.238 0.896D-01
   21   26    407.589 0.546D+00     8.152 0.271D-01    21.092 0.638D-01
   22   26    418.517 0.514D+00    10.927 0.167D-01    19.079 0.400D-01
   23   26    425.555 0.543D+00     7.038 0.152D-01    17.965 0.297D-01
   24   26    435.142 0.563D+00     9.587 0.147D-01    16.625 0.274D-01
   25   26    440.270 0.567D+00     5.128 0.167D-01    14.715 0.291D-01
   26   26    447.890 0.629D+00     7.621 0.173D-01    12.749 0.323D-01
   27   26    449.645 0.714D+00     1.756 0.174D-01     9.377 0.323D-01
   28   26    453.785 0.711D+00     4.139 0.170D-01     5.895 0.321D-01
   29   26    452.774 0.614D+00    -1.011 0.176D-01     3.129 0.319D-01
   30   26    453.931 0.590D+00     1.157 0.177D-01     0.146 0.339D-01
   31   26    451.370 0.655D+00    -2.560 0.168D-01    -1.403 0.330D-01
   32   26    451.021 0.760D+00    -0.349 0.186D-01    -2.909 0.342D-01
   33   26    447.037 0.910D+00    -3.983 0.207D-01    -4.332 0.388D-01
   34   26    445.288 0.108D+01    -1.749 0.213D-01    -5.732 0.417D-01
   35   26    439.979 0.125D+01    -5.308 0.213D-01    -7.058 0.421D-01
   36   26    436.970 0.139D+01    -3.009 0.222D-01    -8.317 0.426D-01
   38   26    426.339 0.167D+01     0.000 0.000D+00   -10.632 0.534D-01
   20   27    406.527 0.796D+00    13.323 0.391D-01    24.714 0.997D-01
   21   27    415.513 0.537D+00     8.987 0.283D-01    22.310 0.625D-01
   22   27    426.909 0.496D+00    11.395 0.183D-01    20.382 0.422D-01
   23   27    434.742 0.558D+00     7.832 0.161D-01    19.227 0.323D-01
   24   27    444.841 0.579D+00    10.098 0.142D-01    17.930 0.274D-01
   25   27    450.666 0.583D+00     5.826 0.174D-01    15.924 0.291D-01
   26   27    458.792 0.681D+00     8.127 0.184D-01    13.953 0.341D-01
   27   27    462.894 0.732D+00     4.102 0.161D-01    12.229 0.320D-01
   28   27    467.664 0.623D+00     4.770 0.162D-01     8.872 0.288D-01
   29   27    467.489 0.513D+00    -0.175 0.185D-01     4.595 0.330D-01
   30   27    469.341 0.534D+00     1.853 0.168D-01     1.678 0.342D-01
   31   27    467.651 0.589D+00    -1.690 0.148D-01     0.163 0.301D-01
   32   27    467.936 0.645D+00     0.285 0.167D-01    -1.405 0.300D-01
   33   27    464.834 0.750D+00    -3.102 0.199D-01    -2.816 0.359D-01
   34   27    463.644 0.913D+00    -1.190 0.216D-01    -4.291 0.412D-01
   35   27    459.254 0.109D+01    -4.390 0.217D-01    -5.580 0.430D-01
   36   27    456.763 0.126D+01    -2.491 0.215D-01    -6.881 0.426D-01
   37   27    451.219 0.140D+01    -5.544 0.226D-01    -8.035 0.432D-01
   38   27    447.527 0.153D+01    -3.692 0.258D-01    -9.236 0.475D-01
   40   27    436.263 0.196D+01     0.000 0.000D+00   -11.265 0.636D-01
   20   28    416.188 0.848D+00    14.284 0.396D-01    26.250 0.112D+00
   21   28    425.645 0.558D+00     9.457 0.294D-01    23.741 0.614D-01
   22   28    437.894 0.492D+00    12.247 0.196D-01    21.704 0.440D-01
   23   28    446.280 0.566D+00     8.385 0.173D-01    20.633 0.348D-01
   24   28    457.141 0.603D+00    10.861 0.146D-01    19.246 0.288D-01
   25   28    463.537 0.630D+00     6.397 0.179D-01    17.257 0.299D-01
   26   28    472.309 0.708D+00     8.772 0.179D-01    15.169 0.342D-01
   27   28    477.050 0.676D+00     4.741 0.158D-01    13.513 0.306D-01
   28   28    484.132 0.559D+00     7.083 0.170D-01    11.824 0.301D-01
   29   28    484.587 0.496D+00     0.455 0.172D-01     7.538 0.326D-01
   30   28    487.158 0.515D+00     2.571 0.160D-01     3.027 0.321D-01
   31   28    486.028 0.552D+00    -1.129 0.141D-01     1.442 0.289D-01
   32   28    487.045 0.572D+00     1.017 0.146D-01    -0.113 0.270D-01
   33   28    484.457 0.623D+00    -2.587 0.182D-01    -1.571 0.319D-01
   34   28    484.053 0.754D+00    -0.403 0.213D-01    -2.991 0.391D-01
   35   28    480.139 0.939D+00    -3.914 0.222D-01    -4.317 0.432D-01
   36   28    478.454 0.113D+01    -1.685 0.217D-01    -5.599 0.434D-01
   37   28    473.335 0.128D+01    -5.119 0.212D-01    -6.804 0.421D-01
