# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   43   73 -53.71  -0.71  0.131 -0.050 -0.002
   43   74 -50.51  -0.77  0.115 -0.045 -0.003
   43   75 -45.58  -0.88  0.100 -0.040 -0.003
   43   76 -42.26  -1.22  0.087 -0.036  0.000
   43   77 -37.24  -1.61  0.071 -0.032  0.000
   43   78 -33.67  -2.09  0.057 -0.027  0.002
   43   79 -28.62  -2.82  0.043 -0.024  0.004
   43   80 -24.97  -3.59  0.030 -0.018  0.005
   43   81 -19.87  -4.60  0.015 -0.007  0.000
   43   82 -16.22  -5.75  0.004  0.000  0.000
   43   83  -8.82  -4.79  0.014  0.009  0.001
   43   84  -2.84  -3.94  0.026  0.016  0.001
   43   85   4.58  -3.29  0.038  0.022  0.001
   43   86  10.71  -2.62  0.047  0.020 -0.007
   43   87  18.34  -2.06  0.054  0.010 -0.012
   43   88  24.83  -1.34  0.057 -0.001 -0.015
   43   89  32.80  -0.74  0.079  0.030 -0.004
   43   90  39.38  -0.24  0.084  0.028 -0.008
   43   91  47.52   0.25  0.091  0.026 -0.012
   43   92  54.24   0.60  0.102  0.035 -0.007
   43   93  62.46   0.90  0.110  0.035 -0.011
   43   94  69.32   1.11  0.121  0.039 -0.010
   43   95  77.64   1.24  0.128  0.042 -0.011
   43   96  84.60   1.29  0.137  0.043 -0.014
   43   97  93.02   1.27  0.143  0.041 -0.013
   43   98 100.17   1.24  0.147  0.037 -0.017
   43   99 108.81   1.19  0.150  0.034 -0.013
   43  100 116.08   1.04  0.157  0.031 -0.021
   43  101 124.89   0.94  0.160  0.024 -0.024
   43  102 132.43   0.81  0.164  0.017 -0.028
   43  103 141.47   0.71  0.164  0.010 -0.026
   43  104 149.31   0.64  0.161  0.000 -0.024
   43  105 158.57   0.54  0.162 -0.005 -0.026
   43  106 166.59   0.43  0.161 -0.015 -0.023
   43  107 176.09   0.36  0.162 -0.022 -0.024
   43  108 184.37   0.30  0.157 -0.033 -0.021
   43  109 194.10   0.26  0.156 -0.039 -0.017
   43  110 202.79   0.39  0.152 -0.045 -0.012
   43  111 213.00   0.64  0.151 -0.049 -0.009
   43  112 221.82   0.70  0.136 -0.047 -0.005
   43  113 232.07   0.79  0.127 -0.046 -0.003
   43  114 241.01   0.78  0.119 -0.046 -0.002
   43  115 251.29   0.72  0.110 -0.045  0.000
   43  116 260.41   0.69  0.103 -0.048  0.004
   43  117 270.83   0.60  0.094 -0.044  0.003
   44   36  10.84  -0.04  0.144 -0.027 -0.009
   44   37   2.44   0.04  0.138 -0.043 -0.004
   44   38  -8.28   0.10  0.149 -0.040 -0.001
   44   39 -15.76   0.01  0.128 -0.034 -0.001
   44   40 -25.68  -0.24  0.135 -0.035 -0.010
   44   41 -32.28  -0.48  0.142 -0.023 -0.011
   44   42 -41.33  -0.90  0.138 -0.018 -0.013
   44   43 -47.30  -1.46  0.128 -0.026 -0.013
   44   44 -55.55  -2.07  0.120 -0.017 -0.016
   44   45 -59.51  -2.34  0.104 -0.019 -0.013
   44   46 -65.65  -2.55  0.091 -0.026 -0.007
   44   47 -68.76  -2.79  0.074 -0.031  0.001
   44   48 -74.26  -3.20  0.049 -0.028  0.006
   44   49 -77.03  -3.86  0.024 -0.011  0.003
   44   50 -82.37  -4.92  0.006  0.000  0.000
   44   51 -82.91  -4.08  0.022  0.015  0.002
   44   52 -85.84  -3.47  0.040  0.017 -0.004
   44   53 -85.93  -2.87  0.057  0.020 -0.006
   44   54 -88.20  -2.32  0.071  0.020 -0.004
   44   55 -87.73  -1.81  0.082  0.018 -0.010
   44   56 -89.41  -1.35  0.091  0.010 -0.011
   44   57 -88.36  -0.87  0.096  0.003 -0.010
   44   58 -89.53  -0.54  0.110  0.000 -0.019
   44   59 -87.96  -0.14  0.113 -0.006 -0.016
   44   60 -88.53   0.18  0.119 -0.010 -0.019
   44   61 -86.51   0.49  0.124 -0.016 -0.020
   44   62 -86.58   0.73  0.134 -0.013 -0.014
   44   63 -84.21   0.85  0.162  0.017 -0.008
   44   64 -84.12   0.70  0.171  0.014 -0.012
   44   65 -81.53   0.54  0.175  0.006 -0.015
   44   66 -80.94   0.36  0.173 -0.006 -0.012
   44   67 -77.93   0.13  0.179 -0.015 -0.019
   44   68 -76.92  -0.12  0.173 -0.027 -0.011
   44   69 -73.52  -0.41  0.171 -0.037 -0.012
   44   70 -72.10  -0.74  0.157 -0.039 -0.014
   44   71 -68.23  -0.99  0.151 -0.042 -0.011
   44   72 -66.47  -1.44  0.145 -0.052 -0.004
   44   73 -62.01  -1.53  0.130 -0.048 -0.004
   44   74 -59.36  -1.51  0.119 -0.051  0.000
   44   75 -54.46  -1.55  0.099 -0.039 -0.003
   44   76 -51.75  -1.90  0.090 -0.042  0.003
   44   77 -46.74  -2.22  0.072 -0.034  0.000
   44   78 -43.77  -2.70  0.060 -0.037  0.008
   44   79 -38.74  -3.37  0.043 -0.025  0.004
   44   80 -35.68  -4.14  0.030 -0.018  0.005
   44   81 -30.67  -5.18  0.015 -0.007  0.000
   44   82 -27.64  -6.36  0.004  0.000  0.000
   44   83 -20.25  -5.34  0.014  0.009  0.000
   44   84 -14.78  -4.44  0.026  0.015  0.001
   44   85  -7.35  -3.71  0.038  0.023  0.001
   44   86  -1.70  -2.95  0.047  0.019 -0.006
   44   87   5.95  -2.32  0.055  0.012 -0.014
   44   88  11.92  -1.56  0.067  0.026 -0.005
   44   89  19.78  -1.02  0.075  0.022 -0.008
   44   90  25.86  -0.46  0.081  0.020 -0.011
   44   91  33.91  -0.01  0.091  0.020 -0.012
   44   92  40.17   0.42  0.092  0.012 -0.014
   44   93  48.50   0.87  0.105  0.023 -0.011
   44   94  54.84   1.10  0.116  0.029 -0.012
   44   95  63.14   1.26  0.130  0.044 -0.010
   44   96  69.58   1.30  0.137  0.042 -0.013
   44   97  77.99   1.32  0.142  0.040 -0.013
   44   98  84.63   1.29  0.148  0.040 -0.016
   44   99  93.21   1.24  0.151  0.035 -0.015
   44  100 100.04   1.15  0.157  0.029 -0.020
   44  101 108.84   1.07  0.158  0.023 -0.022
   44  102 115.90   0.95  0.160  0.016 -0.023
   44  103 124.89   0.84  0.163  0.010 -0.026
   44  104 132.22   0.76  0.164  0.001 -0.027
   44  105 141.46   0.68  0.159 -0.006 -0.019
   44  106 148.99   0.56  0.161 -0.014 -0.022
   44  107 158.39   0.43  0.162 -0.022 -0.024
   44  108 166.25   0.42  0.158 -0.031 -0.019
   44  109 175.83   0.26  0.155 -0.037 -0.014
   44  110 183.92   0.27  0.152 -0.045 -0.012
   44  111 193.71   0.11  0.146 -0.052 -0.006
   44  112 202.02   0.13  0.137 -0.048 -0.005
   44  113 212.24   0.22  0.129 -0.049 -0.002
   44  114 220.82   0.31  0.121 -0.049  0.000
   44  115 231.12   0.28  0.116 -0.054  0.005
   44  116 239.83   0.31  0.103 -0.046  0.002
   44  117 250.21   0.19  0.094 -0.044  0.003
   44  118 258.87  -0.03  0.083 -0.036  0.004
   44  119 269.18  -0.39  0.070 -0.030  0.001
   45   37  13.62  -0.32  0.118 -0.041  0.000
   45   38   2.64  -0.34  0.109 -0.028 -0.004
   45   39  -5.67  -0.44  0.106 -0.024 -0.006
   45   40 -15.68  -0.60  0.103 -0.023 -0.008
   45   41 -23.14  -0.89  0.104 -0.020 -0.008
   45   42 -32.32  -1.27  0.104 -0.019 -0.010
   45   43 -39.02  -1.76  0.104 -0.020 -0.013
   45   44 -47.44  -2.38  0.105 -0.019 -0.012
   45   45 -53.10  -3.06  0.104 -0.022 -0.014
   45   46 -59.69  -3.26  0.091 -0.029 -0.008
   45   47 -63.53  -3.45  0.076 -0.035  0.001
   45   48 -69.08  -3.77  0.050 -0.030  0.007
   45   49 -72.60  -4.41  0.024 -0.012  0.004
   45   50 -78.08  -5.46  0.006  0.000  0.000
   45   51 -79.34  -4.59  0.022  0.013  0.002
   45   52 -82.40  -3.97  0.040  0.017 -0.004
   45   53 -83.21  -3.35  0.055  0.016 -0.008
   45   54 -85.59  -2.77  0.070  0.013 -0.009
   45   55 -85.72  -2.14  0.075  0.006 -0.008
   45   56 -87.49  -1.63  0.081  0.000 -0.007
   45   57 -87.23  -1.24  0.094 -0.004 -0.015
   45   58 -88.43  -0.81  0.100 -0.011 -0.015
   45   59 -87.54  -0.38  0.103 -0.017 -0.013
   45   60 -88.15   0.03  0.104 -0.021 -0.011
   45   61 -86.78   0.37  0.110 -0.027 -0.010
   45   62 -86.97   0.61  0.111 -0.029 -0.005
   45   63 -85.15   0.86  0.120 -0.020 -0.010
   45   64 -85.07   0.82  0.163  0.011 -0.004
   45   65 -83.13   0.67  0.166  0.002 -0.004
   45   66 -82.62   0.52  0.165 -0.009 -0.005
   45   67 -80.28   0.28  0.168 -0.017 -0.007
   45   68 -79.38   0.03  0.171 -0.027 -0.010
   45   69 -76.60  -0.24  0.168 -0.038 -0.010
   45   70 -75.27  -0.55  0.149 -0.034 -0.010
   45   71 -72.11  -0.89  0.148 -0.043 -0.007
   45   72 -70.53  -1.40  0.139 -0.048 -0.004
   45   73 -67.17  -1.97  0.125 -0.051  0.001
   45   74 -64.98  -2.32  0.119 -0.052  0.000
   45   75 -60.69  -2.37  0.102 -0.044  0.000
   45   76 -58.05  -2.68  0.088 -0.040  0.002
   45   77 -53.59  -2.96  0.074 -0.035  0.003
   45   78 -50.73  -3.46  0.063 -0.033  0.006
   45   79 -46.22  -4.05  0.043 -0.024  0.003
   45   80 -43.26  -4.84  0.030 -0.019  0.005
   45   81 -38.85  -5.89  0.015 -0.007  0.000
   45   82 -35.91  -7.08  0.004  0.000  0.000
   45   83 -29.07  -6.05  0.014  0.009  0.000
   45   84 -23.66  -5.11  0.026  0.015  0.001
   45   85 -16.73  -4.32  0.038  0.022 -0.001
   45   86 -11.10  -3.51  0.048  0.022 -0.003
   45   87  -3.93  -2.80  0.056  0.021 -0.006
   45   88   1.96  -2.05  0.063  0.017 -0.007
   45   89   9.35  -1.43  0.072  0.014 -0.012
   45   90  15.51  -0.72  0.073  0.008 -0.009
   45   91  23.02  -0.28  0.084  0.008 -0.017
   45   92  29.33   0.27  0.091  0.010 -0.014
   45   93  37.01   0.61  0.093 -0.001 -0.017
   45   94  43.60   1.14  0.111  0.020 -0.015
   45   95  51.40   1.32  0.129  0.043 -0.008
   45   96  57.76   1.35  0.136  0.040 -0.012
   45   97  65.65   1.36  0.143  0.041 -0.013
   45   98  72.23   1.33  0.149  0.041 -0.013
   45   99  80.33   1.30  0.151  0.035 -0.016
   45  100  87.10   1.21  0.156  0.030 -0.019
   45  101  95.41   1.14  0.158  0.023 -0.021
   45  102 102.45   1.06  0.161  0.016 -0.024
   45  103 110.97   0.97  0.164  0.010 -0.026
   45  104 118.32   0.96  0.157  0.000 -0.018
   45  105 127.02   0.82  0.159 -0.007 -0.020
   45  106 134.50   0.70  0.161 -0.014 -0.021
   45  107 143.46   0.61  0.157 -0.023 -0.015
   45  108 151.19   0.52  0.159 -0.030 -0.018
   45  109 160.36   0.41  0.153 -0.038 -0.012
   45  110 168.33   0.35  0.151 -0.044 -0.009
   45  111 177.69   0.23  0.144 -0.053  0.000
   45  112 185.85   0.14  0.137 -0.051 -0.002
   45  113 195.33  -0.06  0.126 -0.053  0.000
   45  114 203.61  -0.23  0.123 -0.055  0.003
   45  115 213.40  -0.31  0.116 -0.054  0.005
   45  116 222.15  -0.22  0.102 -0.045  0.002
   45  117 232.04  -0.38  0.095 -0.046  0.004
   45  118 240.70  -0.56  0.083 -0.036  0.003
   45  119 250.67  -0.83  0.071 -0.031  0.001
   45  120 259.24  -1.29  0.065 -0.034  0.005
   45  121 268.99  -1.94  0.003  0.000  0.000
   45  122 277.59  -2.55  0.011  0.009  0.004
   46   38  11.52  -0.88  0.086 -0.028 -0.001
   46   39   3.05  -0.95  0.086 -0.025 -0.001
   46   40  -7.76  -1.10  0.085 -0.024 -0.004
   46   41 -15.35  -1.34  0.086 -0.021 -0.005
   46   42 -25.30  -1.68  0.087 -0.022 -0.007
   46   43 -32.11  -2.11  0.087 -0.020 -0.009
   46   44 -41.26  -2.66  0.090 -0.025 -0.007
   46   45 -47.36  -3.31  0.092 -0.029 -0.008
   46   46 -55.74  -4.02  0.090 -0.034 -0.005
   46   47 -59.73  -4.21  0.076 -0.036  0.002
   46   48 -66.00  -4.47  0.049 -0.029  0.007
   46   49 -69.64  -5.09  0.024 -0.011  0.004
   46   50 -75.90  -6.16  0.006  0.000  0.000
   46   51 -77.27  -5.26  0.023  0.014  0.001
   46   52 -81.05  -4.61  0.039  0.016 -0.003
   46   53 -81.98  -3.97  0.050  0.000 -0.011
   46   54 -84.99  -3.29  0.061  0.003 -0.006
   46   55 -85.19  -2.60  0.065 -0.004 -0.002
   46   56 -87.63  -2.03  0.076 -0.010 -0.008
   46   57 -87.37  -1.52  0.084 -0.015 -0.011
   46   58 -89.24  -1.04  0.088 -0.022 -0.008
   46   59 -88.46  -0.61  0.090 -0.025 -0.006
   46   60 -89.76  -0.19  0.092 -0.031 -0.003
   46   61 -88.44   0.20  0.096 -0.036 -0.002
   46   62 -89.28   0.49  0.096 -0.035 -0.003
   46   63 -87.59   0.71  0.095 -0.034 -0.004
   46   64 -88.00   0.86  0.094 -0.033 -0.005
   46   65 -86.10   0.77  0.164  0.002 -0.004
   46   66 -86.23   0.65  0.164 -0.009 -0.001
   46   67 -83.97   0.43  0.169 -0.018 -0.007
   46   68 -83.67   0.23  0.168 -0.027 -0.010
   46   69 -80.94   0.00  0.158 -0.028 -0.014
   46   70 -80.25  -0.30  0.150 -0.029 -0.007
   46   71 -77.25  -0.71  0.142 -0.037 -0.004
   46   72 -76.29  -1.22  0.132 -0.042 -0.004
   46   73 -73.03  -1.80  0.122 -0.049  0.003
   46   74 -71.71  -2.40  0.102 -0.046  0.002
   46   75 -68.20  -3.15  0.101 -0.047  0.003
   46   76 -66.31  -3.60 -0.133 -0.013  0.019
   46   77 -61.96  -3.91 -0.118 -0.022  0.020
   46   78 -59.61  -4.31  0.065 -0.039  0.010
   46   79 -55.15  -4.89 -0.074 -0.026  0.007
   46   80 -52.77  -5.67  0.030 -0.019  0.005
   46   81 -48.44  -6.73  0.015 -0.008  0.000
   46   82 -46.11  -7.94  0.004  0.000  0.000
   46   83 -39.31  -6.88  0.014  0.009  0.000
   46   84 -34.45  -5.92  0.026  0.015  0.001
   46   85 -27.53  -5.08  0.037  0.020 -0.002
   46   86 -22.41  -4.22  0.045  0.015 -0.006
   46   87 -15.21  -3.42  0.052  0.013 -0.006
   46   88  -9.77  -2.57  0.055  0.006 -0.005
   46   89  -2.42  -1.93  0.065  0.005 -0.010
   46   90   3.27  -1.14  0.065 -0.001 -0.008
   46   91  10.84  -0.59  0.075 -0.003 -0.012
   46   92  16.71   0.06  0.076 -0.007 -0.010
   46   93  24.49   0.55  0.082 -0.012 -0.011
   46   94  30.49   1.03  0.084 -0.016 -0.010
   46   95  38.40   1.37  0.128  0.039 -0.009
   46   96  44.28   1.43  0.135  0.039 -0.011
   46   97  52.14   1.46  0.141  0.039 -0.013
   46   98  58.20   1.43  0.147  0.040 -0.012
   46   99  66.23   1.37  0.151  0.035 -0.016
   46  100  72.50   1.28  0.156  0.030 -0.019
   46  101  80.76   1.20  0.158  0.023 -0.021
   46  102  87.30   1.12  0.161  0.016 -0.023
   46  103  95.80   1.06  0.163  0.009 -0.026
   46  104 102.63   1.01  0.160  0.001 -0.021
   46  105 111.37   0.95  0.159 -0.006 -0.019
   46  106 118.42   0.89  0.157 -0.015 -0.015
   46  107 127.39   0.83  0.153 -0.024 -0.013
   46  108 134.58   0.68  0.158 -0.029 -0.018
   46  109 143.76   0.62  0.150 -0.040 -0.007
   46  110 151.21   0.50  0.151 -0.045 -0.007
   46  111 160.61   0.46  0.144 -0.052  0.000
   46  112 168.24   0.30  0.137 -0.051 -0.001
   46  113 177.76   0.17  0.128 -0.052  0.001
   46  114 185.46  -0.13  0.120 -0.050  0.002
   46  115 195.06  -0.37  0.105 -0.050  0.006
   46  116 202.86  -0.77  0.104 -0.051  0.006
   46  117 212.62  -1.03  0.095 -0.046  0.004
   46  118 220.81  -1.25 -0.119 -0.008  0.013
   46  119 230.74  -1.52 -0.116 -0.017  0.017
   46  120 238.99  -1.87  0.067 -0.038  0.007
   46  121 248.78  -2.46  0.003  0.000  0.000
   46  122 256.96  -3.06  0.010  0.010  0.001
   46  123 266.78  -3.79  0.017  0.008 -0.003
   46  124 275.07  -4.46  0.021  0.000 -0.004
   47   39  14.09  -1.63  0.058 -0.017 -0.001
   47   40   3.13  -1.75  0.043  0.002 -0.001
   47   41  -5.22  -1.95  0.054 -0.009 -0.007
   47   42 -15.24  -2.20  0.064 -0.015 -0.004
   47   43 -22.74  -2.54  0.069 -0.023 -0.004
   47   44 -31.94  -2.98  0.073 -0.029  0.000
   47   45 -38.75  -3.56  0.076 -0.035  0.000
   47   46 -47.27  -4.27  0.075 -0.035  0.002
   47   47 -53.10  -5.07  0.073 -0.040  0.005
   47   48 -59.82  -5.31  0.048 -0.028  0.005
   47   49 -64.21  -5.94  0.024 -0.012  0.003
   47   50 -70.58  -6.96  0.006  0.000  0.000
   47   51 -72.69  -6.07  0.022  0.013  0.001
   47   52 -76.54  -5.36  0.037  0.010 -0.005
   47   53 -78.17  -4.70  0.045 -0.001 -0.007
   47   54 -81.28  -3.97  0.053 -0.008 -0.005
   47   55 -82.12  -3.20  0.058 -0.012 -0.003
   47   56 -84.55  -2.49  0.064 -0.018 -0.002
   47   57 -84.86  -1.84  0.068 -0.023 -0.001
   47   58 -86.75  -1.27  0.072 -0.028  0.000
   47   59 -86.60  -0.77  0.071 -0.027  0.001
   47   60 -88.04  -0.37  0.075 -0.032  0.002
   47   61 -87.47  -0.04  0.075 -0.032  0.003
   47   62 -88.39   0.29  0.075 -0.031  0.002
   47   63 -87.35   0.53  0.074 -0.029  0.001
   47   64 -87.85   0.69  0.074 -0.029  0.000
   47   65 -86.45   0.77  0.076 -0.035  0.003
   47   66 -86.58   0.76  0.166 -0.006 -0.004
   47   67 -84.90   0.61  0.169 -0.018 -0.007
   47   68 -84.67   0.44  0.168 -0.027 -0.007
   47   69 -82.58   0.21  0.156 -0.025 -0.008
   47   70 -82.00  -0.10  0.144 -0.025 -0.008
   47   71 -79.61  -0.49  0.132 -0.031  0.000
   47   72 -78.75  -1.00  0.128 -0.037 -0.003
   47   73 -76.06  -1.53  0.112 -0.038  0.000
   47   74 -74.94  -2.24 -0.116 -0.022  0.018
   47   75 -72.19  -3.14 -0.127 -0.016  0.020
   47   76 -70.82  -4.02  0.081 -0.041  0.007
   47   77 -67.71  -4.96 -0.118 -0.027  0.015
   47   78 -65.44  -5.37 -0.100 -0.022  0.017
   47   79 -61.53  -5.90 -0.076 -0.030  0.007
   47   80 -59.21  -6.65  0.030 -0.018  0.004
   47   81 -55.45  -7.71  0.015 -0.008  0.000
   47   82 -53.20  -8.91  0.004  0.000  0.000
   47   83 -46.97  -7.85  0.014  0.010  0.000
   47   84 -42.17  -6.88  0.026  0.015  0.001
   47   85 -35.77  -5.99  0.034  0.012 -0.004
   47   86 -30.69  -5.09  0.043  0.006 -0.010
   47   87 -23.94  -4.19  0.046  0.003 -0.007
   47   88 -18.50  -3.27  0.048 -0.002 -0.004
   47   89 -11.54  -2.47  0.055 -0.006 -0.006
   47   90  -5.87  -1.64  0.056 -0.010 -0.004
   47   91   1.27  -0.97  0.065 -0.013 -0.007
   47   92   7.13  -0.27  0.067 -0.017 -0.005
   47   93  14.55   0.39  0.069 -0.021 -0.004
   47   94  20.62   1.00  0.071 -0.025 -0.002
   47   95  28.10   1.44  0.128  0.043 -0.004
   47   96  33.94   1.52  0.136  0.043 -0.008
   47   97  41.31   1.57  0.142  0.043 -0.008
   47   98  47.31   1.54  0.147  0.041 -0.010
   47   99  54.85   1.50  0.150  0.035 -0.013
   47  100  61.09   1.44  0.153  0.029 -0.017
   47  101  68.80   1.31  0.158  0.023 -0.021
   47  102  75.28   1.22  0.160  0.015 -0.023
   47  103  83.40   1.26  0.155  0.007 -0.016
   47  104  90.05   1.09  0.160  0.001 -0.021
   47  105  98.31   1.03  0.159 -0.006 -0.019
   47  106 105.35   1.01  0.156 -0.015 -0.014
   47  107 113.85   0.97  0.154 -0.023 -0.010
   47  108 121.02   0.83  0.158 -0.029 -0.018
   47  109 129.73   0.78  0.155 -0.038 -0.013
   47  110 137.17   0.69  0.148 -0.044 -0.005
   47  111 146.09   0.64  0.145 -0.050  0.000
   47  112 153.69   0.49  0.137 -0.051  0.000
   47  113 162.74   0.35  0.125 -0.046  0.000
   47  114 170.40   0.05  0.117 -0.047  0.002
   47  115 179.38  -0.36 -0.111 -0.013  0.020
   47  116 187.11  -0.80 -0.112 -0.015  0.019
   47  117 196.23  -1.26 -0.111 -0.016  0.018
   47  118 204.06  -1.79 -0.116 -0.011  0.014
   47  119 213.29  -2.32 -0.114 -0.020  0.017
   47  120 221.51  -2.67 -0.105 -0.025  0.011
   47  121 230.98  -3.15  0.003  0.000  0.000
   47  122 239.13  -3.74  0.010  0.010  0.001
   47  123 248.52  -4.47  0.017  0.008 -0.003
   47  124 256.79  -5.14  0.021  0.000 -0.004
   47  125 266.44  -5.78  0.018 -0.009  0.000
   47  126 275.00  -6.33  0.009 -0.005  0.003
   47  127 284.77  -7.02  0.002  0.000  0.000
   48   41   3.36  -2.81  0.037 -0.008 -0.003
   48   42  -7.33  -2.93  0.042 -0.014 -0.003
   48   43 -14.87  -3.15  0.046 -0.021  0.000
   48   44 -24.76  -3.50  0.047 -0.022  0.000
   48   45 -31.62  -3.97  0.050 -0.030  0.007
   48   46 -40.82  -4.58  0.049 -0.029  0.007
   48   47 -47.09  -5.36  0.049 -0.028  0.006
   48   48 -55.70  -6.28  0.046 -0.025  0.004
   48   49 -60.24  -6.92  0.024 -0.012  0.004
   48   50 -67.36  -7.94  0.006  0.000  0.000
   48   51 -69.56  -7.00  0.021  0.009  0.000
   48   52 -74.09  -6.22  0.036  0.000 -0.006
   48   53 -75.75  -5.45  0.041 -0.001 -0.011
   48   54 -79.58  -4.73  0.042 -0.018  0.000
   48   55 -80.47  -3.88  0.045 -0.019  0.004
   48   56 -83.51  -3.08  0.046 -0.019  0.001
   48   57 -83.89  -2.38  0.042 -0.011 -0.002
   48   58 -86.45  -1.76  0.042 -0.012 -0.003
   48   59 -86.38  -1.22  0.046 -0.019  0.000
   48   60 -88.49  -0.80  0.047 -0.021  0.000
   48   61 -88.03  -0.47  0.047 -0.021  0.000
   48   62 -89.66  -0.18  0.050 -0.030  0.007
   48   63 -88.70   0.09  0.049 -0.029  0.006
   48   64 -89.78   0.36  0.048 -0.028  0.007
   48   65 -88.41   0.49  0.049 -0.028  0.006
   48   66 -89.17   0.52  0.046 -0.021  0.001
   48   67 -87.48   0.47  0.045 -0.021  0.000
   48   68 -87.88   0.32  0.046 -0.022  0.000
   48   69 -85.89   0.08  0.050 -0.019  0.002
   48   70 -85.97  -0.24  0.050 -0.018  0.000
   48   71 -83.66  -0.64  0.050 -0.018  0.000
   48   72 -83.41  -1.12  0.052 -0.022  0.001
   48   73 -80.89  -1.74  0.054 -0.026  0.003
   48   74 -80.37  -2.42  0.056 -0.030  0.006
   48   75 -77.57  -3.19  0.055 -0.031  0.006
   48   76 -76.79  -4.06 -0.087 -0.024  0.011
   48   77 -73.80  -5.04 -0.089 -0.029  0.009
   48   78 -72.79  -6.11 -0.089 -0.029  0.009
   48   79 -69.35  -7.04 -0.076 -0.029  0.007
   48   80 -67.59  -7.76  0.031 -0.021  0.008
   48   81 -63.90  -8.82  0.015 -0.008  0.000
   48   82 -62.24 -10.04  0.004  0.000  0.000
   48   83 -56.04  -8.94  0.013  0.006 -0.001
   48   84 -51.78  -7.93  0.023  0.008 -0.002
   48   85 -45.36  -6.97  0.029  0.004 -0.004
   48   86 -40.85  -6.07  0.036 -0.001 -0.007
   48   87 -34.10  -5.11  0.035 -0.010 -0.004
   48   88 -29.17  -4.14  0.041 -0.011 -0.001
   48   89 -22.10  -3.18  0.042 -0.015 -0.001
   48   90 -16.87  -2.25  0.045 -0.020  0.001
   48   91  -9.65  -1.44  0.050 -0.018  0.000
   48   92  -4.25  -0.66  0.049 -0.018  0.000
   48   93   3.19   0.07  0.050 -0.018  0.000
   48   94   8.81   0.75  0.049 -0.019  0.000
   48   95  16.42   1.36  0.049 -0.019  0.000
   48   96  21.86   1.58  0.135  0.043 -0.006
   48   97  29.18   1.62  0.142  0.042 -0.009
   48   98  34.71   1.63  0.147  0.041 -0.010
   48   99  42.22   1.61  0.150  0.035 -0.012
   48  100  47.97   1.55  0.152  0.029 -0.015
   48  101  55.65   1.45  0.158  0.023 -0.021
   48  102  61.63   1.36  0.160  0.016 -0.023
   48  103  69.67   1.35  0.156  0.008 -0.017
   48  104  75.88   1.24  0.157  0.000 -0.016
   48  105  84.02   1.10  0.159 -0.006 -0.019
   48  106  90.60   1.10  0.155 -0.015 -0.013
   48  107  99.06   1.05  0.154 -0.023 -0.010
   48  108 105.78   0.94  0.158 -0.029 -0.016
   48  109 114.48   0.91  0.151 -0.037 -0.007
   48  110 121.48   0.86  0.147 -0.045 -0.004
   48  111 130.38   0.80  0.146 -0.052 -0.001
   48  112 137.52   0.66  0.133 -0.046  0.000
   48  113 146.53   0.52  0.125 -0.046  0.000
   48  114 153.75   0.24  0.116 -0.046  0.003
   48  115 162.43  -0.44 -0.096 -0.025  0.014
   48  116 169.59  -1.00 -0.085 -0.032  0.011
   48  117 178.69  -1.45 -0.083 -0.031  0.008
   48  118 186.15  -1.91 -0.083 -0.032  0.006
   48  119 195.39  -2.42 -0.082 -0.029  0.005
   48  120 202.85  -3.08  0.014 -0.010  0.004
   48  121 211.84  -4.01  0.003  0.000  0.000
   48  122 219.56  -4.60  0.010  0.010  0.002
   48  123 228.97  -5.30  0.017  0.008 -0.003
   48  124 236.79  -5.98  0.021  0.000 -0.005
   48  125 246.43  -6.62  0.018 -0.009  0.000
   48  126 254.57  -7.16  0.010 -0.005  0.000
   48  127 264.32  -7.86  0.002  0.000  0.000
   49   42   3.50  -3.83  0.025 -0.012  0.002
   49   43  -4.69  -3.94  0.024 -0.012  0.001
   49   44 -14.67  -4.21  0.024 -0.012  0.003
   49   45 -22.25  -4.65  0.024 -0.012  0.003
   49   46 -31.58  -5.24  0.024 -0.012  0.002
   49   47 -38.59  -6.01  0.024 -0.012  0.003
   49   48 -47.35  -6.94  0.024 -0.012  0.004
   49   49 -53.52  -8.02  0.024 -0.012  0.004
   49   50 -61.08  -9.04  0.006  0.000  0.000
   49   51 -63.96  -8.05  0.021  0.000 -0.003
   49   52 -68.43  -7.08  0.022 -0.010  0.000
   49   53 -70.70  -6.20  0.025 -0.012  0.000
   49   54 -74.62  -5.44  0.025 -0.012  0.000
   49   55 -76.38  -4.76  0.024 -0.012  0.004
   49   56 -79.61  -4.00  0.006  0.000  0.000
   49   57 -80.62  -3.24  0.020  0.000 -0.004
   49   58 -83.22  -2.54  0.021  0.000 -0.005
   49   59 -83.77  -1.94  0.025 -0.010  0.003
   49   60 -85.91  -1.43  0.026 -0.011  0.000
   49   61 -86.07  -1.05  0.026 -0.011  0.001
   49   62 -87.85  -0.78  0.025 -0.010  0.002
   49   63 -87.65  -0.61  0.025 -0.011  0.002
   49   64 -88.95  -0.46  0.024 -0.010  0.002
   49   65 -88.24  -0.33  0.021 -0.008  0.001
   49   66 -89.07  -0.26  0.021  0.000 -0.003
   49   67 -88.00  -0.29  0.025 -0.013  0.000
