# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
    9   11  -0.48   0.01  0.121  0.011 -0.009
    9   12  -0.81  -0.51  0.106  0.011 -0.003
    9   13   2.01  -1.38  0.056 -0.002 -0.007
    9   14   3.09  -2.46  0.022  0.000  0.000
    9   15   8.04  -2.72  0.021  0.000  0.000
    9   16  11.84  -2.71  0.020 -0.001  0.000
    9   17  19.22  -1.83  0.057  0.014 -0.008
    9   18  25.09  -1.11  0.076  0.005 -0.008
    9   19  33.31  -0.49  0.065  0.000 -0.006
    9   20  40.12   0.02  0.052 -0.005 -0.002
    9   21  49.11   0.46  0.054  0.006 -0.005
    9   22  56.74   0.79  0.096  0.022  0.000
    9   23  66.25   0.93  0.103  0.025 -0.004
    9   24  74.42   0.96  0.118  0.017 -0.002
    9   25  84.42   0.86  0.114  0.010 -0.006
    9   26  93.10   0.66  0.082  0.004 -0.009
    9   27 103.46   0.28  0.068 -0.003 -0.008
    9   28 112.50  -0.20  0.044 -0.010 -0.001
   10    6  24.58  -0.49  0.057  0.005 -0.011
   10    7  16.49  -0.70  0.049  0.000 -0.005
   10    8   4.56  -0.95  0.047  0.000 -0.009
   10    9   1.04   0.09  0.123  0.012 -0.002
   10   10  -6.56   0.34  0.164  0.030 -0.011
   10   11  -5.46   0.34  0.182  0.011 -0.010
   10   12  -7.74   0.11  0.147 -0.012 -0.009
   10   13  -5.38  -0.51  0.071 -0.019 -0.003
   10   14  -6.23  -1.47  0.022  0.000  0.000
   10   15  -1.91  -1.71  0.054  0.000 -0.005
   10   16   0.17  -1.54  0.020 -0.001  0.000
   10   17   6.75  -0.88  0.057  0.016 -0.009
   10   18  10.75  -0.30  0.076  0.003 -0.011
   10   19  18.34   0.21  0.056 -0.015 -0.008
   10   20  23.47   0.66  0.016 -0.001  0.000
   10   21  32.13   1.23  0.054  0.014 -0.009
   10   22  38.14   1.46  0.164  0.024 -0.002
   10   23  47.15   1.52  0.161  0.025 -0.007
   10   24  53.87   1.51  0.159  0.023 -0.010
   10   25  63.55   1.48  0.158  0.016 -0.010
   10   26  71.03   1.40  0.165  0.010 -0.005
   10   27  81.31   1.31  0.144 -0.002 -0.003
   10   28  89.30   1.02  0.055 -0.015 -0.007
   10   29  99.77   0.52  0.011  0.000  0.000
   10   30 108.33   0.16  0.043  0.013  0.001
   10   31 119.26  -0.41  0.060 -0.001 -0.011
   11    6  35.35  -0.36  0.047  0.000 -0.004
   11    7  24.97  -0.64  0.047  0.000 -0.005
   11    8  11.93  -1.16  0.040 -0.002 -0.004
   11    9   6.41  -0.01  0.118  0.011 -0.005
   11   10  -1.94   0.32  0.186  0.011 -0.014
   11   11  -5.18   0.26  0.197  0.001 -0.018
   11   12  -8.70   0.24  0.174 -0.008 -0.006
   11   13  -8.07  -0.22  0.078 -0.028  0.002
   11   14  -9.74  -1.25  0.022  0.000  0.000
   11   15  -7.06  -1.35  0.043 -0.001  0.000
   11   16  -5.69  -1.18  0.020 -0.001  0.000
   11   17  -0.81  -0.53  0.056  0.015 -0.006
   11   18   2.39  -0.07  0.098 -0.007 -0.003
