#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   38  104    859.097 0.440D+01    -2.542 0.572D-01    -6.256 0.111D+00
   38  105    855.139 0.445D+01    -3.960 0.607D-01    -6.502 0.118D+00
   38  106    852.345 0.454D+01    -2.795 0.641D-01    -6.754 0.125D+00
   39   28    464.276 0.156D+01     0.000 0.000D+00     0.000 0.000D+00
   39   29    483.435 0.144D+01    19.159 0.172D-01     0.000 0.000D+00
   39   30    503.807 0.132D+01    20.372 0.153D-01    39.531 0.322D-01
   39   31    521.424 0.121D+01    17.617 0.138D-01    37.989 0.288D-01
   39   32    540.526 0.111D+01    19.102 0.130D-01    36.719 0.265D-01
   39   33    556.826 0.997D+00    16.300 0.128D-01    35.402 0.255D-01
   39   34    574.855 0.890D+00    18.028 0.130D-01    34.328 0.256D-01
   39   35    590.024 0.792D+00    15.168 0.131D-01    33.197 0.260D-01
   39   36    607.133 0.706D+00    17.109 0.130D-01    32.277 0.260D-01
   39   37    621.332 0.635D+00    14.199 0.125D-01    31.308 0.254D-01
   39   38    637.632 0.578D+00    16.299 0.118D-01    30.498 0.242D-01
   39   39    650.960 0.536D+00    13.327 0.111D-01    29.626 0.228D-01
   39   40    665.395 0.507D+00    14.435 0.106D-01    27.762 0.215D-01
   39   41    676.116 0.492D+00    10.720 0.101D-01    25.155 0.205D-01
   39   42    689.172 0.488D+00    13.056 0.951D-02    23.776 0.194D-01
   39   43    699.504 0.488D+00    10.332 0.886D-02    23.388 0.182D-01
   39   44    712.058 0.486D+00    12.553 0.836D-02    22.886 0.170D-01
   39   45    721.782 0.479D+00     9.723 0.853D-02    22.276 0.165D-01
   39   46    733.637 0.470D+00    11.855 0.951D-02    21.578 0.177D-01
   39   47    743.140 0.466D+00     9.502 0.106D-01    21.358 0.198D-01
   39   48    754.681 0.470D+00    11.540 0.108D-01    21.042 0.211D-01
   39   49    763.759 0.469D+00     9.078 0.102D-01    20.619 0.205D-01
   39   50    774.810 0.456D+00    11.051 0.101D-01    20.129 0.196D-01
   39   51    781.774 0.435D+00     6.966 0.111D-01    18.017 0.206D-01
   39   52    790.253 0.425D+00     8.481 0.114D-01    15.446 0.221D-01
   39   53    796.568 0.430D+00     6.318 0.105D-01    14.798 0.216D-01
   39   54    804.308 0.439D+00     7.742 0.893D-02    14.060 0.190D-01
   39   55    809.812 0.440D+00     5.505 0.799D-02    13.247 0.164D-01
   39   56    816.883 0.430D+00     7.072 0.817D-02    12.578 0.157D-01
   39   57    822.074 0.414D+00     5.192 0.909D-02    12.265 0.169D-01
   39   58    828.596 0.401D+00     6.522 0.103D-01    11.714 0.191D-01
   39   59    833.363 0.402D+00     4.767 0.113D-01    11.289 0.214D-01
   39   60    839.398 0.423D+00     6.036 0.120D-01    10.803 0.232D-01
   39   61    843.784 0.461D+00     4.385 0.120D-01    10.421 0.239D-01
   39   62    849.370 0.503D+00     5.585 0.112D-01     9.971 0.232D-01
   39   63    853.406 0.536D+00     4.035 0.971D-02     9.620 0.207D-01
   39   64    858.570 0.548D+00     5.163 0.825D-02     9.198 0.175D-01
   39   65    862.269 0.533D+00     3.699 0.883D-02     8.861 0.162D-01
   39   66    867.352 0.492D+00     5.081 0.124D-01     8.779 0.206D-01
   39   67    870.752 0.449D+00     3.399 0.176D-01     8.480 0.297D-01
   39   68    875.127 0.455D+00     4.373 0.230D-01     7.772 0.405D-01
   39   69    878.204 0.559D+00     3.075 0.279D-01     7.448 0.508D-01
   39   70    882.173 0.749D+00     3.968 0.314D-01     7.043 0.592D-01
   39   71    884.708 0.985D+00     2.534 0.334D-01     6.501 0.647D-01
   39   72    888.286 0.124D+01     3.577 0.341D-01     6.111 0.673D-01
   39   73    890.598 0.148D+01     2.311 0.340D-01     5.888 0.678D-01
   39   74    893.904 0.172D+01     3.306 0.340D-01     5.617 0.677D-01
   39   75    896.226 0.195D+01     2.323 0.347D-01     5.629 0.684D-01
   39   76    899.514 0.217D+01     3.290 0.362D-01     5.613 0.706D-01
   39   77    901.716 0.240D+01     2.203 0.380D-01     5.493 0.740D-01
   39   78    904.835 0.264D+01     3.120 0.399D-01     5.324 0.778D-01
   39   79    907.122 0.288D+01     2.288 0.415D-01     5.408 0.813D-01
   39   80    910.281 0.312D+01     3.161 0.426D-01     5.449 0.839D-01
   39   81    912.458 0.336D+01     2.178 0.430D-01     5.340 0.853D-01
   39   82    915.473 0.357D+01     3.017 0.428D-01     5.195 0.856D-01
   39   83    915.556 0.377D+01     0.084 0.423D-01     3.101 0.849D-01
   39   84    916.164 0.394D+01     0.610 0.417D-01     0.694 0.838D-01
   39   85    915.957 0.408D+01    -0.206 0.411D-01     0.404 0.826D-01
   39   86    916.223 0.420D+01     0.267 0.405D-01     0.061 0.813D-01
   39   87    915.714 0.430D+01    -0.508 0.395D-01    -0.241 0.798D-01
   39   88    915.612 0.438D+01    -0.101 0.381D-01    -0.609 0.775D-01
   39   89    914.773 0.444D+01    -0.839 0.362D-01    -0.940 0.742D-01
   39   90    914.304 0.450D+01    -0.469 0.339D-01    -1.308 0.700D-01
   39   91    913.152 0.454D+01    -1.151 0.316D-01    -1.620 0.653D-01
   39   92    912.319 0.457D+01    -0.834 0.296D-01    -1.985 0.610D-01
   39   93    910.864 0.458D+01    -1.455 0.284D-01    -2.289 0.577D-01
   39   94    909.678 0.457D+01    -1.187 0.284D-01    -2.642 0.565D-01
   39   95    907.923 0.455D+01    -1.757 0.296D-01    -2.943 0.577D-01
   39   96    906.409 0.452D+01    -1.515 0.318D-01    -3.272 0.611D-01
   39   97    904.367 0.448D+01    -2.043 0.347D-01    -3.558 0.663D-01
   39   98    902.539 0.443D+01    -1.830 0.380D-01    -3.873 0.725D-01
   39   99    900.236 0.438D+01    -2.305 0.414D-01    -4.134 0.792D-01
   39  100    898.099 0.433D+01    -2.138 0.447D-01    -4.443 0.859D-01
   39  101    895.541 0.429D+01    -2.560 0.480D-01    -4.699 0.925D-01
   39  102    893.122 0.427D+01    -2.420 0.512D-01    -4.981 0.990D-01
   39  103    890.325 0.428D+01    -2.798 0.544D-01    -5.219 0.105D+00
   39  104    887.633 0.431D+01    -2.694 0.577D-01    -5.492 0.112D+00
   39  105    884.607 0.439D+01    -3.027 0.609D-01    -5.721 0.118D+00
   39  106    881.661 0.450D+01    -2.947 0.640D-01    -5.974 0.125D+00
   40   27    436.263 0.196D+01     0.000 0.000D+00     0.000 0.000D+00
   40   28    460.477 0.177D+01    24.214 0.217D-01     0.000 0.000D+00
   40   29    480.080 0.161D+01    19.604 0.202D-01    43.818 0.418D-01
   40   30    501.264 0.147D+01    21.184 0.184D-01    40.788 0.384D-01
   40   31    519.350 0.136D+01    18.085 0.164D-01    39.270 0.346D-01
   40   32    539.188 0.125D+01    19.838 0.147D-01    37.923 0.308D-01
   40   33    555.990 0.115D+01    16.802 0.135D-01    36.640 0.279D-01
   40   34    574.677 0.106D+01    18.687 0.129D-01    35.489 0.262D-01
   40   35    590.362 0.959D+00    15.684 0.129D-01    34.371 0.256D-01
   40   36    608.074 0.869D+00    17.712 0.130D-01    33.396 0.257D-01
   40   37    622.796 0.786D+00    14.721 0.129D-01    32.433 0.257D-01
   40   38    639.655 0.713D+00    16.859 0.126D-01    31.580 0.253D-01
   40   39    653.533 0.650D+00    13.877 0.121D-01    30.736 0.246D-01
   40   40    669.729 0.595D+00    16.194 0.117D-01    30.072 0.237D-01
   40   41    680.910 0.552D+00    11.181 0.114D-01    27.375 0.230D-01
   40   42    694.498 0.522D+00    13.587 0.112D-01    24.768 0.225D-01
   40   43    705.245 0.505D+00    10.746 0.108D-01    24.334 0.218D-01
   40   44    718.336 0.495D+00    13.090 0.104D-01    23.836 0.210D-01
   40   45    728.431 0.490D+00    10.094 0.105D-01    23.185 0.207D-01
   40   46    740.854 0.489D+00    12.422 0.112D-01    22.516 0.214D-01
   40   47    750.688 0.496D+00     9.833 0.117D-01    22.254 0.226D-01
   40   48    762.810 0.503D+00    12.122 0.112D-01    21.955 0.225D-01
   40   49    772.166 0.494D+00     9.356 0.102D-01    21.478 0.207D-01
   40   50    783.794 0.465D+00    11.630 0.106D-01    20.985 0.199D-01
   40   51    791.006 0.431D+00     7.214 0.121D-01    18.844 0.222D-01
   40   52    800.088 0.416D+00     9.084 0.123D-01    16.298 0.241D-01
   40   53    806.638 0.424D+00     6.552 0.108D-01    15.636 0.229D-01
   40   54    815.011 0.436D+00     8.375 0.860D-02    14.927 0.190D-01
   40   55    820.950 0.437D+00     5.941 0.726D-02    14.316 0.153D-01
   40   56    828.721 0.422D+00     7.772 0.749D-02    13.713 0.142D-01
   40   57    833.934 0.399D+00     5.214 0.873D-02    12.986 0.159D-01
   40   58    841.407 0.378D+00     7.473 0.102D-01    12.688 0.187D-01
   40   59    846.161 0.373D+00     4.754 0.115D-01    12.228 0.216D-01
   40   60    853.184 0.396D+00     7.023 0.124D-01    11.777 0.238D-01
   40   61    857.523 0.441D+00     4.338 0.125D-01    11.361 0.247D-01
   40   62    864.112 0.494D+00     6.588 0.117D-01    10.926 0.241D-01
   40   63    868.027 0.541D+00     3.914 0.102D-01    10.502 0.218D-01
   40   64    874.203 0.567D+00     6.175 0.848D-02    10.089 0.184D-01
   40   65    877.717 0.565D+00     3.513 0.791D-02     9.688 0.157D-01
   40   66    883.487 0.536D+00     5.769 0.997D-02     9.282 0.171D-01
   40   67    886.913 0.492D+00     3.424 0.138D-01     9.193 0.234D-01
   40   68    891.995 0.462D+00     5.080 0.181D-01     8.504 0.317D-01
   40   69    895.064 0.482D+00     3.068 0.216D-01     8.148 0.395D-01
   40   70    899.737 0.568D+00     4.672 0.241D-01     7.740 0.455D-01
   40   71    902.231 0.699D+00     2.493 0.254D-01     7.165 0.492D-01
   40   72    906.496 0.848D+00     4.264 0.260D-01     6.758 0.511D-01
   40   73    908.752 0.100D+01     2.257 0.269D-01     6.521 0.526D-01
   40   74    912.772 0.117D+01     4.021 0.284D-01     6.278 0.550D-01
   40   75    915.026 0.134D+01     2.255 0.308D-01     6.276 0.590D-01
   40   76    919.041 0.153D+01     4.016 0.336D-01     6.271 0.642D-01
   40   77    921.162 0.176D+01     2.123 0.366D-01     6.139 0.701D-01
   40   78    925.013 0.201D+01     3.852 0.396D-01     5.975 0.761D-01
   40   79    927.193 0.229D+01     2.181 0.422D-01     6.033 0.817D-01
   40   80    931.069 0.258D+01     3.878 0.444D-01     6.059 0.866D-01
   40   81    933.138 0.288D+01     2.069 0.459D-01     5.947 0.902D-01
   40   82    936.891 0.318D+01     3.754 0.463D-01     5.823 0.920D-01
   40   83    936.889 0.346D+01    -0.001 0.458D-01     3.753 0.919D-01
   40   84    938.323 0.372D+01     1.435 0.444D-01     1.434 0.899D-01
   40   85    938.051 0.395D+01    -0.272 0.425D-01     1.163 0.866D-01
   40   86    939.171 0.413D+01     1.121 0.405D-01     0.849 0.826D-01
   40   87    938.592 0.429D+01    -0.578 0.385D-01     0.542 0.786D-01
   40   88    939.375 0.440D+01     0.784 0.366D-01     0.205 0.747D-01
   40   89    938.483 0.449D+01    -0.892 0.347D-01    -0.108 0.709D-01
   40   90    938.900 0.455D+01     0.417 0.329D-01    -0.475 0.673D-01
   40   91    937.673 0.458D+01    -1.228 0.313D-01    -0.811 0.638D-01
   40   92    937.739 0.460D+01     0.066 0.302D-01    -1.162 0.611D-01
   40   93    936.189 0.459D+01    -1.551 0.299D-01    -1.486 0.596D-01
   40   94    935.913 0.456D+01    -0.277 0.306D-01    -1.829 0.601D-01
   40   95    934.032 0.452D+01    -1.882 0.323D-01    -2.160 0.626D-01
   40   96    933.428 0.447D+01    -0.605 0.347D-01    -2.488 0.667D-01
   40   97    931.254 0.441D+01    -2.177 0.375D-01    -2.782 0.719D-01
   40   98    930.330 0.435D+01    -0.925 0.404D-01    -3.102 0.777D-01
   40   99    927.871 0.430D+01    -2.461 0.433D-01    -3.387 0.835D-01
   40  100    926.658 0.425D+01    -1.215 0.462D-01    -3.676 0.893D-01
   40  101    923.935 0.423D+01    -2.725 0.492D-01    -3.940 0.952D-01
   40  102    922.435 0.423D+01    -1.502 0.522D-01    -4.227 0.101D+00
   40  103    919.470 0.426D+01    -2.966 0.552D-01    -4.468 0.107D+00
   40  104    917.714 0.432D+01    -1.757 0.582D-01    -4.723 0.113D+00
   40  105    914.520 0.443D+01    -3.195 0.609D-01    -4.952 0.119D+00
   40  106    912.530 0.456D+01    -1.991 0.632D-01    -5.186 0.124D+00
   40  107    909.116 0.473D+01    -3.414 0.649D-01    -5.405 0.128D+00
   40  108    906.900 0.493D+01    -2.216 0.658D-01    -5.630 0.131D+00
   40  109    903.283 0.514D+01    -3.617 0.661D-01    -5.833 0.132D+00
   40  110    900.847 0.536D+01    -2.437 0.659D-01    -6.054 0.132D+00
   40  111    897.040 0.559D+01    -3.807 0.654D-01    -6.243 0.131D+00
   40  112    894.444 0.581D+01    -2.597 0.651D-01    -6.403 0.130D+00
   40  113    890.486 0.603D+01    -3.957 0.651D-01    -6.554 0.130D+00
   40  114    887.838 0.624D+01    -2.649 0.657D-01    -6.606 0.131D+00
   40  115    883.937 0.644D+01    -3.901 0.670D-01    -6.549 0.132D+00
   40  116    881.324 0.664D+01    -2.614 0.689D-01    -6.515 0.136D+00
   41   30    494.669 0.168D+01     0.000 0.000D+00     0.000 0.000D+00
   41   31    513.606 0.155D+01    18.937 0.193D-01     0.000 0.000D+00
   41   32    533.843 0.143D+01    20.237 0.174D-01    39.174 0.365D-01
   41   33    551.410 0.133D+01    17.567 0.156D-01    37.804 0.328D-01
   41   34    570.519 0.123D+01    19.109 0.141D-01    36.676 0.294D-01
   41   35    586.901 0.114D+01    16.382 0.133D-01    35.491 0.271D-01
   41   36    605.038 0.104D+01    18.137 0.129D-01    34.519 0.260D-01
   41   37    620.401 0.955D+00    15.362 0.129D-01    33.499 0.257D-01
   41   38    637.691 0.869D+00    17.289 0.129D-01    32.652 0.257D-01
   41   39    652.148 0.788D+00    14.456 0.129D-01    31.746 0.257D-01
   41   40    668.813 0.712D+00    16.664 0.127D-01    31.121 0.254D-01
   41   41    681.746 0.642D+00    12.932 0.126D-01    29.596 0.252D-01
   41   42    695.849 0.580D+00    14.102 0.126D-01    27.034 0.251D-01
   41   43    707.115 0.531D+00    11.265 0.127D-01    25.367 0.251D-01
   41   44    720.691 0.498D+00    13.575 0.128D-01    24.840 0.253D-01
   41   45    731.337 0.483D+00    10.645 0.131D-01    24.220 0.256D-01
   41   46    744.206 0.489D+00    12.868 0.134D-01    23.513 0.262D-01
   41   47    754.610 0.509D+00    10.402 0.131D-01    23.270 0.262D-01
   41   48    767.139 0.524D+00    12.529 0.115D-01    22.931 0.242D-01
   41   49    777.063 0.512D+00     9.924 0.101D-01    22.454 0.207D-01
   41   50    789.027 0.473D+00    11.965 0.111D-01    21.889 0.201D-01
   41   51    796.791 0.430D+00     7.766 0.128D-01    19.731 0.233D-01
   41   52    806.156 0.410D+00     9.368 0.128D-01    17.134 0.252D-01
   41   53    813.261 0.414D+00     7.107 0.110D-01    16.475 0.235D-01
   41   54    821.905 0.423D+00     8.646 0.864D-02    15.753 0.193D-01
   41   55    828.436 0.423D+00     6.533 0.714D-02    15.179 0.153D-01
   41   56    836.462 0.410D+00     8.026 0.711D-02    14.560 0.137D-01
   41   57    842.333 0.386D+00     5.872 0.813D-02    13.898 0.149D-01
   41   58    849.834 0.362D+00     7.502 0.957D-02    13.374 0.175D-01
   41   59    855.496 0.350D+00     5.662 0.110D-01    13.164 0.204D-01
   41   60    862.525 0.364D+00     7.028 0.120D-01    12.690 0.228D-01
   41   61    867.801 0.403D+00     5.276 0.124D-01    12.304 0.243D-01
   41   62    874.365 0.458D+00     6.564 0.121D-01    11.840 0.244D-01
   41   63    879.249 0.512D+00     4.883 0.110D-01    11.447 0.229D-01
   41   64    885.332 0.551D+00     6.082 0.949D-02    10.965 0.202D-01
   41   65    889.809 0.568D+00     4.475 0.851D-02    10.557 0.175D-01
   41   66    895.414 0.560D+00     5.604 0.928D-02    10.079 0.171D-01
   41   67    899.497 0.535D+00     4.081 0.117D-01     9.685 0.205D-01
   41   68    904.941 0.509D+00     5.443 0.146D-01     9.524 0.261D-01
   41   69    908.662 0.501D+00     3.721 0.169D-01     9.163 0.314D-01
   41   70    913.372 0.522D+00     4.709 0.183D-01     8.430 0.350D-01
   41   71    916.523 0.567D+00     3.151 0.188D-01     7.860 0.368D-01
   41   72    920.820 0.627D+00     4.297 0.194D-01     7.448 0.379D-01
   41   73    923.755 0.698D+00     2.936 0.209D-01     7.233 0.399D-01
   41   74    927.790 0.787D+00     4.037 0.235D-01     6.973 0.440D-01
   41   75    930.746 0.907D+00     2.958 0.267D-01     6.995 0.500D-01
   41   76    934.758 0.107D+01     4.014 0.303D-01     6.971 0.569D-01
   41   77    937.580 0.127D+01     2.823 0.340D-01     6.837 0.642D-01
   41   78    941.412 0.151D+01     3.834 0.377D-01     6.658 0.715D-01
   41   79    944.305 0.179D+01     2.894 0.413D-01     6.728 0.788D-01
   41   80    948.146 0.210D+01     3.842 0.446D-01     6.736 0.858D-01
   41   81    950.921 0.242D+01     2.776 0.473D-01     6.618 0.918D-01
   41   82    954.606 0.276D+01     3.685 0.490D-01     6.461 0.962D-01
   41   83    955.342 0.310D+01     0.737 0.493D-01     4.422 0.982D-01
   41   84    956.723 0.342D+01     1.381 0.483D-01     2.118 0.975D-01
   41   85    957.228 0.372D+01     0.505 0.460D-01     1.886 0.941D-01
   41   86    958.304 0.397D+01     1.077 0.427D-01     1.582 0.884D-01
   41   87    958.532 0.418D+01     0.228 0.392D-01     1.305 0.816D-01
   41   88    959.280 0.434D+01     0.747 0.360D-01     0.975 0.748D-01
   41   89    959.207 0.445D+01    -0.073 0.334D-01     0.674 0.689D-01
   41   90    959.596 0.453D+01     0.388 0.317D-01     0.315 0.646D-01
   41   91    959.211 0.457D+01    -0.386 0.308D-01     0.002 0.620D-01
   41   92    959.227 0.457D+01     0.015 0.309D-01    -0.371 0.612D-01
   41   93    958.524 0.455D+01    -0.705 0.316D-01    -0.690 0.620D-01
   41   94    958.181 0.452D+01    -0.345 0.330D-01    -1.050 0.643D-01
   41   95    957.158 0.447D+01    -1.024 0.349D-01    -1.370 0.676D-01
   41   96    956.459 0.441D+01    -0.701 0.371D-01    -1.726 0.717D-01
   41   97    955.136 0.434D+01    -1.325 0.394D-01    -2.026 0.762D-01
   41   98    954.113 0.429D+01    -1.025 0.419D-01    -2.350 0.810D-01
   41   99    952.514 0.424D+01    -1.601 0.444D-01    -2.626 0.860D-01
   41  100    951.183 0.421D+01    -1.333 0.471D-01    -2.935 0.913D-01
   41  101    949.334 0.421D+01    -1.851 0.500D-01    -3.184 0.969D-01
   41  102    947.720 0.423D+01    -1.615 0.529D-01    -3.466 0.103D+00
   41  103    945.637 0.430D+01    -2.085 0.557D-01    -3.700 0.108D+00
   41  104    943.756 0.439D+01    -1.882 0.580D-01    -3.967 0.114D+00
   41  105    941.461 0.452D+01    -2.296 0.598D-01    -4.177 0.118D+00
   41  106    939.335 0.467D+01    -2.127 0.607D-01    -4.423 0.120D+00
   41  107    936.838 0.484D+01    -2.497 0.609D-01    -4.625 0.121D+00
   41  108    934.481 0.502D+01    -2.357 0.604D-01    -4.854 0.121D+00
   41  109    931.786 0.520D+01    -2.696 0.596D-01    -5.052 0.120D+00
   41  110    929.201 0.538D+01    -2.585 0.590D-01    -5.280 0.118D+00
   41  111    926.307 0.555D+01    -2.895 0.588D-01    -5.480 0.117D+00
   41  112    923.551 0.571D+01    -2.756 0.595D-01    -5.650 0.118D+00
   41  113    920.523 0.586D+01    -3.028 0.612D-01    -5.784 0.120D+00
   41  114    917.702 0.600D+01    -2.821 0.641D-01    -5.849 0.125D+00
   41  115    914.726 0.615D+01    -2.976 0.678D-01    -5.798 0.132D+00
   41  116    911.924 0.629D+01    -2.803 0.721D-01    -5.779 0.140D+00
   41  117    908.855 0.645D+01    -3.070 0.766D-01    -5.873 0.149D+00
   42   28    447.162 0.234D+01     0.000 0.000D+00     0.000 0.000D+00
   42   29    468.112 0.214D+01    20.950 0.232D-01     0.000 0.000D+00
   42   30    490.518 0.196D+01    22.407 0.224D-01    43.356 0.456D-01
   42   31    509.891 0.181D+01    19.373 0.213D-01    41.780 0.437D-01
   42   32    530.890 0.167D+01    21.000 0.199D-01    40.373 0.411D-01
   42   33    548.907 0.155D+01    18.017 0.182D-01    39.017 0.379D-01
   42   34    568.702 0.144D+01    19.795 0.164D-01    37.812 0.344D-01
   42   35    585.557 0.134D+01    16.854 0.150D-01    36.650 0.312D-01
   42   36    604.313 0.124D+01    18.755 0.140D-01    35.610 0.287D-01
   42   37    620.150 0.114D+01    15.837 0.135D-01    34.592 0.272D-01
   42   38    638.002 0.104D+01    17.851 0.134D-01    33.688 0.267D-01
   42   39    652.949 0.946D+00    14.946 0.136D-01    32.797 0.268D-01
   42   40    670.113 0.848D+00    17.163 0.137D-01    32.110 0.272D-01
   42   41    683.567 0.753D+00    13.453 0.139D-01    30.616 0.275D-01
   42   42    699.364 0.662D+00    15.796 0.142D-01    29.249 0.280D-01
   42   43    711.080 0.578D+00    11.715 0.147D-01    27.511 0.287D-01
   42   44    725.184 0.512D+00    14.102 0.153D-01    25.818 0.297D-01
   42   45    736.257 0.477D+00    11.071 0.158D-01    25.174 0.309D-01
   42   46    749.690 0.483D+00    13.432 0.158D-01    24.503 0.315D-01
   42   47    760.480 0.513D+00    10.789 0.145D-01    24.221 0.301D-01
   42   48    773.574 0.533D+00    13.093 0.118D-01    23.882 0.258D-01
   42   49    783.842 0.519D+00    10.268 0.103D-01    23.361 0.209D-01
   42   50    796.363 0.477D+00    12.523 0.117D-01    22.791 0.209D-01
   42   51    804.391 0.433D+00     8.030 0.133D-01    20.553 0.245D-01
   42   52    814.301 0.412D+00     9.913 0.128D-01    17.943 0.257D-01
   42   53    821.629 0.411D+00     7.330 0.107D-01    17.244 0.232D-01
   42   54    830.841 0.413D+00     9.214 0.854D-02    16.544 0.189D-01
   42   55    837.577 0.407D+00     6.738 0.734D-02    15.951 0.154D-01
   42   56    846.215 0.392D+00     8.640 0.734D-02    15.377 0.142D-01
   42   57    852.489 0.371D+00     6.274 0.810D-02    14.914 0.151D-01
   42   58    860.643 0.351D+00     8.155 0.918D-02    14.429 0.170D-01
   42   59    866.308 0.340D+00     5.664 0.102D-01    13.819 0.192D-01
   42   60    874.216 0.347D+00     7.908 0.111D-01    13.573 0.212D-01
   42   61    879.469 0.373D+00     5.253 0.116D-01    13.161 0.226D-01
   42   62    886.966 0.413D+00     7.496 0.118D-01    12.749 0.233D-01
   42   63    891.792 0.459D+00     4.825 0.115D-01    12.321 0.230D-01
   42   64    898.836 0.501D+00     7.042 0.109D-01    11.868 0.221D-01
   42   65    903.205 0.531D+00     4.368 0.103D-01    11.410 0.208D-01
   42   66    909.782 0.548D+00     6.576 0.102D-01    10.944 0.200D-01
   42   67    913.694 0.551D+00     3.910 0.109D-01    10.486 0.206D-01
   42   68    919.802 0.545D+00     6.107 0.122D-01    10.017 0.226D-01
   42   69    923.574 0.536D+00     3.771 0.134D-01     9.878 0.252D-01
   42   70    928.954 0.528D+00     5.379 0.145D-01     9.150 0.275D-01
   42   71    932.127 0.524D+00     3.173 0.153D-01     8.553 0.293D-01
   42   72    937.101 0.527D+00     4.976 0.164D-01     8.149 0.312D-01
   42   73    940.034 0.546D+00     2.934 0.181D-01     7.910 0.340D-01
   42   74    944.759 0.594D+00     4.727 0.204D-01     7.661 0.381D-01
   42   75    947.686 0.680D+00     2.929 0.233D-01     7.656 0.434D-01
   42   76    952.392 0.809D+00     4.708 0.265D-01     7.637 0.496D-01
   42   77    955.179 0.979D+00     2.789 0.301D-01     7.497 0.564D-01
   42   78    959.708 0.119D+01     4.531 0.340D-01     7.320 0.639D-01
   42   79    962.529 0.143D+01     2.822 0.381D-01     7.353 0.720D-01
   42   80    967.069 0.171D+01     4.541 0.423D-01     7.362 0.803D-01
   42   81    969.755 0.202D+01     2.687 0.460D-01     7.227 0.882D-01
   42   82    974.153 0.236D+01     4.399 0.490D-01     7.085 0.950D-01
   42   83    974.789 0.270D+01     0.636 0.508D-01     5.035 0.997D-01
   42   84    976.897 0.305D+01     2.107 0.510D-01     2.743 0.102D+00
   42   85    977.297 0.338D+01     0.400 0.494D-01     2.507 0.100D+00
   42   86    979.140 0.369D+01     1.843 0.463D-01     2.243 0.955D-01
   42   87    979.286 0.394D+01     0.145 0.420D-01     1.988 0.880D-01
   42   88    980.831 0.415D+01     1.545 0.375D-01     1.690 0.791D-01
   42   89    980.685 0.431D+01    -0.147 0.336D-01     1.398 0.705D-01
   42   90    981.897 0.441D+01     1.211 0.311D-01     1.064 0.640D-01
   42   91    981.439 0.446D+01    -0.460 0.304D-01     0.751 0.608D-01
   42   92    982.304 0.448D+01     0.863 0.311D-01     0.403 0.609D-01
   42   93    981.508 0.446D+01    -0.797 0.326D-01     0.066 0.633D-01
   42   94    982.021 0.443D+01     0.511 0.344D-01    -0.287 0.666D-01
   42   95    980.893 0.438D+01    -1.131 0.362D-01    -0.620 0.703D-01
   42   96    981.065 0.432D+01     0.170 0.380D-01    -0.960 0.739D-01
   42   97    979.623 0.426D+01    -1.445 0.400D-01    -1.274 0.777D-01
   42   98    979.471 0.422D+01    -0.155 0.421D-01    -1.600 0.818D-01
   42   99    977.752 0.419D+01    -1.720 0.446D-01    -1.876 0.864D-01
   42  100    977.293 0.418D+01    -0.461 0.474D-01    -2.181 0.917D-01
   42  101    975.309 0.421D+01    -1.986 0.502D-01    -2.447 0.973D-01
   42  102    974.583 0.426D+01    -0.727 0.528D-01    -2.713 0.103D+00
   42  103    972.360 0.434D+01    -2.224 0.548D-01    -2.951 0.107D+00
   42  104    971.393 0.445D+01    -0.968 0.560D-01    -3.192 0.111D+00
   42  105    968.944 0.458D+01    -2.449 0.564D-01    -3.417 0.112D+00
   42  106    967.736 0.472D+01    -1.209 0.559D-01    -3.658 0.112D+00
   42  107    965.079 0.487D+01    -2.658 0.548D-01    -3.867 0.110D+00
   42  108    963.643 0.501D+01    -1.436 0.535D-01    -4.094 0.108D+00
   42  109    960.787 0.515D+01    -2.856 0.524D-01    -4.292 0.106D+00
   42  110    959.122 0.527D+01    -1.665 0.522D-01    -4.521 0.104D+00
   42  111    956.046 0.538D+01    -3.077 0.531D-01    -4.742 0.105D+00
   42  112    954.207 0.548D+01    -1.839 0.554D-01    -4.916 0.108D+00
   42  113    951.004 0.556D+01    -3.203 0.590D-01    -5.043 0.114D+00
   42  114    949.116 0.565D+01    -1.889 0.637D-01    -5.093 0.122D+00
   42  115    945.940 0.574D+01    -3.177 0.692D-01    -5.066 0.133D+00
   42  116    944.055 0.585D+01    -1.885 0.750D-01    -5.062 0.144D+00
   42  117    940.770 0.598D+01    -3.286 0.809D-01    -5.171 0.156D+00
   42  118    938.754 0.613D+01    -2.017 0.866D-01    -5.303 0.167D+00
   42  119    935.476 0.632D+01    -3.279 0.917D-01    -5.296 0.178D+00
   42  120    933.445 0.654D+01    -2.032 0.961D-01    -5.311 0.188D+00
   43   32    524.727 0.197D+01     0.000 0.000D+00     0.000 0.000D+00
   43   33    543.529 0.184D+01    18.803 0.205D-01     0.000 0.000D+00
   43   34    563.707 0.172D+01    20.178 0.189D-01    38.980 0.393D-01
   43   35    581.280 0.160D+01    17.573 0.174D-01    37.751 0.361D-01
   43   36    600.430 0.149D+01    19.150 0.161D-01    36.723 0.333D-01
