#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   21   38    470.253 0.736D+00     3.518 0.198D-01     5.501 0.381D-01
   21   39    472.303 0.950D+00     2.049 0.202D-01     5.566 0.399D-01
   21   40    475.542 0.120D+01     3.237 0.210D-01     5.286 0.411D-01
   21   41    476.937 0.148D+01     1.393 0.228D-01     4.631 0.437D-01
   21   42    479.497 0.180D+01     2.558 0.252D-01     3.951 0.479D-01
   21   43    480.932 0.214D+01     1.434 0.276D-01     3.992 0.528D-01
   21   44    483.426 0.251D+01     2.492 0.297D-01     3.925 0.573D-01
   21   45    484.551 0.290D+01     1.123 0.310D-01     3.615 0.606D-01
   21   46    486.632 0.328D+01     2.080 0.312D-01     3.203 0.622D-01
   21   47    487.919 0.364D+01     1.284 0.303D-01     3.364 0.615D-01
   21   48    490.680 0.396D+01     2.759 0.283D-01     4.043 0.585D-01
   21   49    491.841 0.424D+01     1.159 0.260D-01     3.918 0.540D-01
   21   50    493.895 0.446D+01     2.051 0.246D-01     3.211 0.501D-01
   21   51    492.620 0.462D+01    -1.278 0.258D-01     0.773 0.496D-01
   21   52    491.499 0.475D+01    -1.124 0.296D-01    -2.402 0.548D-01
   21   53    489.669 0.487D+01    -1.833 0.346D-01    -2.957 0.639D-01
   21   54    487.992 0.500D+01    -1.679 0.385D-01    -3.512 0.729D-01
   21   55    485.770 0.514D+01    -2.225 0.391D-01    -3.904 0.774D-01
   21   56    483.653 0.524D+01    -2.118 0.364D-01    -4.343 0.752D-01
   21   57    481.076 0.530D+01    -2.577 0.326D-01    -4.695 0.683D-01
   21   58    478.517 0.530D+01    -2.559 0.309D-01    -5.135 0.626D-01
   21   59    475.547 0.525D+01    -2.969 0.311D-01    -5.528 0.614D-01
   21   60    472.490 0.517D+01    -3.056 0.313D-01    -6.025 0.620D-01
   21   62    465.631 0.491D+01     0.000 0.000D+00    -6.857 0.638D-01
   21   64    458.068 0.458D+01     0.000 0.000D+00    -7.561 0.743D-01
   22    9    105.424 0.263D+01     0.000 0.000D+00     0.000 0.000D+00
   22   10    135.236 0.255D+01    29.812 0.690D-02     0.000 0.000D+00
   22   11    161.211 0.243D+01    25.975 0.633D-02    55.787 0.131D-01
   22   12    188.882 0.229D+01    27.671 0.610D-02    53.646 0.122D-01
   22   13    211.930 0.211D+01    23.048 0.636D-02    50.719 0.122D-01
   22   14    237.319 0.191D+01    25.388 0.701D-02    48.437 0.132D-01
   22   15    257.091 0.170D+01    19.771 0.774D-02    45.160 0.146D-01
   22   16    278.208 0.149D+01    21.116 0.824D-02    40.888 0.159D-01
