Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.742778	0.00103833	0.742778	0         	0.742778	0.0997956 	0.742778	0.00103833	
0.743333	7.67225e-12	0.743333	0         	0.743333	0.100834  	0.743333	7.67225e-12	
0.743889	0.000284705	0.743889	0         	0.743889	0.100549  	0.743889	0.000284705	
0.744444	0.000152241	0.744444	0         	0.744444	0.100682  	0.744444	0.000152241	
0.745000	2.2013e-17	0.745000	0         	0.745000	0.100834  	0.745000	2.2013e-17	
0.745556	3.16457e-05	0.745556	0         	0.745556	0.100802  	0.745556	3.16457e-05	
0.746111	0         	0.746111	0         	0.746111	0.100834  	0.746111	0         	
0.746667	0         	0.746667	0         	0.746667	0.100834  	0.746667	0         	
0.747222	0         	0.747222	0         	0.747222	0.100834  	0.747222	0         	
0.747778	0         	0.747778	0         	0.747778	0.100834  	0.747778	0         	
0.748333	0         	0.748333	0         	0.748333	0.100834  	0.748333	0         	
0.748889	0         	0.748889	0         	0.748889	0.100834  	0.748889	0         	
0.749444	0         	0.749444	0         	0.749444	0.100834  	0.749444	0         	
0.750000	0         	0.750000	0         	0.750000	0.100834  	0.750000	0         	
0.750556	0         	0.750556	0         	0.750556	0.100834  	0.750556	0         	
0.751111	0         	0.751111	0         	0.751111	0.100834  	0.751111	0         	
0.751667	0         	0.751667	0         	0.751667	0.100834  	0.751667	0         	
0.752222	0         	0.752222	0         	0.752222	0.100834  	0.752222	0         	
0.752778	0         	0.752778	0         	0.752778	0.100834  	0.752778	0         	
0.753333	0         	0.753333	0         	0.753333	0.100834  	0.753333	0         	
0.753889	0         	0.753889	0         	0.753889	0.100834  	0.753889	0         	
0.754444	0         	0.754444	0         	0.754444	0.100834  	0.754444	0         	
0.755000	0         	0.755000	0         	0.755000	0.100834  	0.755000	0         	
0.755556	0         	0.755556	0         	0.755556	0.100834  	0.755556	0         	
0.756111	0         	0.756111	0         	0.756111	0.100834  	0.756111	0         	
0.756667	0         	0.756667	0         	0.756667	0.100834  	0.756667	0         	
0.757222	0         	0.757222	0         	0.757222	0.100834  	0.757222	0         	
0.757778	0         	0.757778	0         	0.757778	0.100834  	0.757778	0         	
0.758333	0         	0.758333	0         	0.758333	0.100834  	0.758333	0         	
0.758889	0         	0.758889	0         	0.758889	0.100834  	0.758889	0         	
0.759444	0         	0.759444	0         	0.759444	0.100834  	0.759444	0         	
0.760000	0         	0.760000	0         	0.760000	0.100834  	0.760000	0         	
