Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.700000	0         	0.700000	4.18961   	0.700000	0.134261  	0.700000	4.18961   	
0.700556	0         	0.700556	4.18953   	0.700556	0.134339  	0.700556	4.18953   	
0.701111	0         	0.701111	4.18945   	0.701111	0.134417  	0.701111	4.18945   	
0.701667	0         	0.701667	4.18938   	0.701667	0.134494  	0.701667	4.18938   	
0.702222	0         	0.702222	4.1893    	0.702222	0.134572  	0.702222	4.1893    	
0.702778	0         	0.702778	4.18922   	0.702778	0.134649  	0.702778	4.18922   	
0.703333	0         	0.703333	4.18914   	0.703333	0.134726  	0.703333	4.18914   	
0.703889	0         	0.703889	4.18907   	0.703889	0.134802  	0.703889	4.18907   	
0.704444	0         	0.704444	4.18899   	0.704444	0.134878  	0.704444	4.18899   	
0.705000	0         	0.705000	4.18892   	0.705000	0.134954  	0.705000	4.18892   	
0.705556	0         	0.705556	4.18884   	0.705556	0.13503   	0.705556	4.18884   	
0.706111	0         	0.706111	4.18876   	0.706111	0.135106  	0.706111	4.18876   	
0.706667	0         	0.706667	4.18869   	0.706667	0.135181  	0.706667	4.18869   	
0.707222	0         	0.707222	4.18861   	0.707222	0.135256  	0.707222	4.18861   	
0.707778	0         	0.707778	4.18854   	0.707778	0.135331  	0.707778	4.18854   	
0.708333	0         	0.708333	4.18847   	0.708333	0.135405  	0.708333	4.18847   	
0.708889	0         	0.708889	4.18839   	0.708889	0.135479  	0.708889	4.18839   	
0.709444	0         	0.709444	4.18832   	0.709444	0.135553  	0.709444	4.18832   	
0.710000	0         	0.710000	4.18824   	0.710000	0.135626  	0.710000	4.18824   	
0.710556	0         	0.710556	4.18817   	0.710556	0.135699  	0.710556	4.18817   	
0.711111	0         	0.711111	4.1881    	0.711111	0.135772  	0.711111	4.1881    	
0.711667	0         	0.711667	4.18803   	0.711667	0.135844  	0.711667	4.18803   	
0.712222	0         	0.712222	4.18795   	0.712222	0.135916  	0.712222	4.18795   	
0.712778	0         	0.712778	4.18788   	0.712778	0.135988  	0.712778	4.18788   	
0.713333	0         	0.713333	4.18781   	0.713333	0.136059  	0.713333	4.18781   	
0.713889	0         	0.713889	4.18774   	0.713889	0.13613   	0.713889	4.18774   	
0.714444	0         	0.714444	4.18767   	0.714444	0.136201  	0.714444	4.18767   	
0.715000	0         	0.715000	4.1876    	0.715000	0.136271  	0.715000	4.1876    	
0.715556	0         	0.715556	4.18753   	0.715556	0.136341  	0.715556	4.18753   	
0.716111	0         	0.716111	4.18746   	0.716111	0.13641   	0.716111	4.18746   	
0.716667	0         	0.716667	4.18739   	0.716667	0.136479  	0.716667	4.18739   	
0.717222	0         	0.717222	4.18732   	0.717222	0.136547  	0.717222	4.18732   	
0.717778	0         	0.717778	4.18726   	0.717778	0.136615  	0.717778	4.18726   	
0.718333	0         	0.718333	4.18719   	0.718333	0.136683  	0.718333	4.18719   	
0.718889	0         	0.718889	4.18712   	0.718889	0.13675   	0.718889	4.18712   	
0.719444	3.02079e-11	0.719444	4.18705   	0.719444	0.136816  	0.719444	4.18705   	
0.720000	1.13782e-09	0.720000	4.18699   	0.720000	0.136882  	0.720000	4.18699   	
0.720556	4.41665e-07	0.720556	4.18692   	0.720556	0.136947  	0.720556	4.18692   	
0.721111	1.06145e-06	0.721111	4.18682   	0.721111	0.137044  	0.721111	4.18683   	
0.721667	1.63642e-06	0.721667	4.18676   	0.721667	0.137109  	0.721667	4.18676   	
0.722222	4.03193e-06	0.722222	4.18669   	0.722222	0.137174  	0.722222	4.1867    	
0.722778	1.33677e-05	0.722778	4.18662   	0.722778	0.137237  	0.722778	4.18663   	
0.723333	2.51167e-05	0.723333	4.18654   	0.723333	0.137301  	0.723333	4.18657   	
0.723889	3.72361e-05	0.723889	4.18647   	0.723889	0.137367  	0.723889	4.1865    	
0.724444	5.68891e-05	0.724444	4.18638   	0.724444	0.137435  	0.724444	4.18644   	
0.725000	8.58519e-05	0.725000	4.18627   	0.725000	0.13751   	0.725000	4.18636   	
0.725556	0.000124001	0.725556	4.18615   	0.725556	0.137591  	0.725556	4.18628   	
0.726111	0.000176725	0.726111	4.18601   	0.726111	0.137682  	0.726111	4.18619   	
0.726667	0.000249348	0.726667	4.18583   	0.726667	0.137787  	0.726667	4.18608   	
0.727222	0.00034341	0.727222	4.18562   	0.727222	0.137911  	0.727222	4.18596   	
0.727778	0.000467439	0.727778	4.18534   	0.727778	0.138061  	0.727778	4.18581   	
0.728333	0.000637745	0.728333	4.18499   	0.728333	0.138246  	0.728333	4.18562   	
0.728889	0.000848155	0.728889	4.18454   	0.728889	0.138479  	0.728889	4.18539   	
0.729444	0.00111576	0.729444	4.18398   	0.729444	0.138775  	0.729444	4.1851    	
0.730000	0.00145707	0.730000	4.18326   	0.730000	0.139149  	0.730000	4.18472   	
0.730556	0.00188814	0.730556	4.18236   	0.730556	0.139623  	0.730556	4.18425   	
0.731111	0.00242608	0.731111	4.18121   	0.731111	0.140231  	0.731111	4.18364   	
0.731667	0.00308898	0.731667	4.17978   	0.731667	0.140998  	0.731667	4.18287   	
0.732222	0.00389708	0.732222	4.17801   	0.732222	0.141961  	0.732222	4.18191   	
0.732778	0.00487197	0.732778	4.17584   	0.732778	0.143163  	0.732778	4.18071   	
0.733333	0.00604288	0.733333	4.17316   	0.733333	0.144669  	0.733333	4.1792    	
0.733889	0.00744259	0.733889	4.1699    	0.733889	0.146527  	0.733889	4.17734   	
0.734444	0.00910901	0.734444	4.16596   	0.734444	0.148805  	0.734444	4.17507   	
