Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.800000	0         	0.800000	8.01175   	0.800000	0.289061  	0.800000	8.01175   	
0.800667	0         	0.800667	8.01156   	0.800667	0.289247  	0.800667	8.01156   	
0.801333	0         	0.801333	8.01137   	0.801333	0.289432  	0.801333	8.01137   	
0.802000	0         	0.802000	8.01119   	0.802000	0.289617  	0.802000	8.01119   	
0.802667	0         	0.802667	8.011     	0.802667	0.289802  	0.802667	8.011     	
0.803333	0         	0.803333	8.01082   	0.803333	0.289986  	0.803333	8.01082   	
0.804000	0         	0.804000	8.01064   	0.804000	0.29017   	0.804000	8.01064   	
0.804667	0         	0.804667	8.01045   	0.804667	0.290353  	0.804667	8.01045   	
0.805333	0         	0.805333	8.01027   	0.805333	0.290536  	0.805333	8.01027   	
0.806000	0         	0.806000	8.01009   	0.806000	0.290719  	0.806000	8.01009   	
0.806667	0         	0.806667	8.00991   	0.806667	0.290901  	0.806667	8.00991   	
0.807333	0         	0.807333	8.00972   	0.807333	0.291082  	0.807333	8.00972   	
0.808000	0         	0.808000	8.00954   	0.808000	0.291263  	0.808000	8.00954   	
0.808667	0         	0.808667	8.00936   	0.808667	0.291443  	0.808667	8.00936   	
0.809333	0         	0.809333	8.00918   	0.809333	0.291623  	0.809333	8.00918   	
0.810000	0         	0.810000	8.009     	0.810000	0.291802  	0.810000	8.009     	
0.810667	0         	0.810667	8.00883   	0.810667	0.29198   	0.810667	8.00883   	
0.811333	0         	0.811333	8.00865   	0.811333	0.292158  	0.811333	8.00865   	
0.812000	0         	0.812000	8.00847   	0.812000	0.292336  	0.812000	8.00847   	
0.812667	0         	0.812667	8.00829   	0.812667	0.292512  	0.812667	8.00829   	
0.813333	0         	0.813333	8.00812   	0.813333	0.292688  	0.813333	8.00812   	
0.814000	0         	0.814000	8.00794   	0.814000	0.292864  	0.814000	8.00794   	
0.814667	0         	0.814667	8.00777   	0.814667	0.293038  	0.814667	8.00777   	
0.815333	0         	0.815333	8.00759   	0.815333	0.293212  	0.815333	8.00759   	
0.816000	0         	0.816000	8.00742   	0.816000	0.293385  	0.816000	8.00742   	
0.816667	0         	0.816667	8.00725   	0.816667	0.293558  	0.816667	8.00725   	
0.817333	0         	0.817333	8.00708   	0.817333	0.29373   	0.817333	8.00708   	
0.818000	0         	0.818000	8.00691   	0.818000	0.293901  	0.818000	8.00691   	
0.818667	0         	0.818667	8.00674   	0.818667	0.294071  	0.818667	8.00674   	
0.819333	0         	0.819333	8.00657   	0.819333	0.29424   	0.819333	8.00657   	
0.820000	0         	0.820000	8.0064    	0.820000	0.294408  	0.820000	8.0064    	
0.820667	0         	0.820667	8.00623   	0.820667	0.294575  	0.820667	8.00623   	
0.821333	0         	0.821333	8.00606   	0.821333	0.294742  	0.821333	8.00606   	
0.822000	0         	0.822000	8.0059    	0.822000	0.294907  	0.822000	8.0059    	
0.822667	0         	0.822667	8.00574   	0.822667	0.295071  	0.822667	8.00574   	
0.823333	0         	0.823333	8.00557   	0.823333	0.295234  	0.823333	8.00557   	
0.824000	0         	0.824000	8.00541   	0.824000	0.295396  	0.824000	8.00541   	
0.824667	0         	0.824667	8.00525   	0.824667	0.295558  	0.824667	8.00525   	
0.825333	0         	0.825333	8.00509   	0.825333	0.295718  	0.825333	8.00509   	
0.826000	0         	0.826000	8.00493   	0.826000	0.295877  	0.826000	8.00493   	
0.826667	0         	0.826667	8.00477   	0.826667	0.296034  	0.826667	8.00477   	
0.827333	0         	0.827333	8.00462   	0.827333	0.296191  	0.827333	8.00462   	
0.828000	0         	0.828000	8.00446   	0.828000	0.296346  	0.828000	8.00446   	
0.828667	0         	0.828667	8.00431   	0.828667	0.2965    	0.828667	8.00431   	
0.829333	0         	0.829333	8.00415   	0.829333	0.296653  	0.829333	8.00415   	
0.830000	1.40141e-10	0.830000	8.004     	0.830000	0.296804  	0.830000	8.004     	
0.830667	3.85907e-08	0.830667	8.00385   	0.830667	0.296954  	0.830667	8.00385   	
0.831333	3.9866e-05	0.831333	8.00366   	0.831333	0.297102  	0.831333	8.0037    	
0.832000	4.20224e-05	0.832000	8.0035    	0.832000	0.297268  	0.832000	8.00354   	
0.832667	0.000166808	0.832667	8.00323   	0.832667	0.297414  	0.832667	8.00339   	
0.833333	0.000361076	0.833333	8.00288   	0.833333	0.297566  	0.833333	8.00324   	
0.834000	0.000574393	0.834000	8.00247   	0.834000	0.297762  	0.834000	8.00304   	
0.834667	0.000698892	0.834667	8.00208   	0.834667	0.298029  	0.834667	8.00278   	
0.835333	0.000946369	0.835333	8.00146   	0.835333	0.298396  	0.835333	8.00241   	
0.836000	0.00131791	0.836000	8.00061   	0.836000	0.298883  	0.836000	8.00192   	
0.836667	0.00181656	0.836667	7.99952   	0.836667	0.299467  	0.836667	8.00134   	
0.837333	0.00247765	0.837333	7.99812   	0.837333	0.300211  	0.837333	8.0006    	
0.838000	0.0033458 	0.838000	7.99627   	0.838000	0.301186  	0.838000	7.99962   	
0.838667	0.00447295	0.838667	7.99386   	0.838667	0.30247   	0.838667	7.99834   	
0.839333	0.00591976	0.839333	7.99073   	0.839333	0.304159  	0.839333	7.99665   	
0.840000	0.00775758	0.840000	7.98667   	0.840000	0.306377  	0.840000	7.99443   	
0.840667	0.0100655 	0.840667	7.98147   	0.840667	0.309273  	0.840667	7.99153   	
0.841333	0.012927  	0.841333	7.97486   	0.841333	0.313021  	0.841333	7.98779   	
0.842000	0.016435  	0.842000	7.96654   	0.842000	0.317834  	0.842000	7.98297   	
0.842667	0.0206856 	0.842667	7.95617   	0.842667	0.323951  	0.842667	7.97686   	
0.843333	0.0257762 	0.843333	7.94338   	0.843333	0.33165   	0.843333	7.96916   	
0.844000	0.0318095 	0.844000	7.92775   	0.844000	0.341246  	0.844000	7.95956   	
0.844667	0.0388733 	0.844667	7.90886   	0.844667	0.353075  	0.844667	7.94773   	
0.845333	0.0470665 	0.845333	7.88623   	0.845333	0.367507  	0.845333	7.9333    	
