Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.720000	0         	0.720000	2.1858    	0.720000	0.0719061 	0.720000	2.1858    	
0.720556	0         	0.720556	2.18576   	0.720556	0.0719451 	0.720556	2.18576   	
0.721111	0         	0.721111	2.18572   	0.721111	0.071984  	0.721111	2.18572   	
0.721667	0         	0.721667	2.18568   	0.721667	0.0720226 	0.721667	2.18568   	
0.722222	0         	0.722222	2.18564   	0.722222	0.0720612 	0.722222	2.18564   	
0.722778	0         	0.722778	2.1856    	0.722778	0.0720996 	0.722778	2.1856    	
0.723333	0         	0.723333	2.18556   	0.723333	0.0721378 	0.723333	2.18556   	
0.723889	0         	0.723889	2.18553   	0.723889	0.0721758 	0.723889	2.18553   	
0.724444	0         	0.724444	2.18549   	0.724444	0.0722136 	0.724444	2.18549   	
0.725000	0         	0.725000	2.18545   	0.725000	0.0722512 	0.725000	2.18545   	
0.725556	0         	0.725556	2.18541   	0.725556	0.0722887 	0.725556	2.18541   	
0.726111	0         	0.726111	2.18538   	0.726111	0.072326  	0.726111	2.18538   	
0.726667	0         	0.726667	2.18534   	0.726667	0.0723631 	0.726667	2.18534   	
0.727222	0         	0.727222	2.1853    	0.727222	0.0723999 	0.727222	2.1853    	
0.727778	0         	0.727778	2.18527   	0.727778	0.0724366 	0.727778	2.18527   	
0.728333	0         	0.728333	2.18523   	0.728333	0.0724731 	0.728333	2.18523   	
0.728889	0         	0.728889	2.18519   	0.728889	0.0725093 	0.728889	2.18519   	
0.729444	0         	0.729444	2.18516   	0.729444	0.0725453 	0.729444	2.18516   	
0.730000	0         	0.730000	2.18512   	0.730000	0.0725811 	0.730000	2.18512   	
0.730556	0         	0.730556	2.18509   	0.730556	0.0726166 	0.730556	2.18509   	
0.731111	0         	0.731111	2.18505   	0.731111	0.0726519 	0.731111	2.18505   	
0.731667	8.93819e-12	0.731667	2.18502   	0.731667	0.0726869 	0.731667	2.18502   	
0.732222	6.81042e-10	0.732222	2.18498   	0.732222	0.0727217 	0.732222	2.18498   	
0.732778	1.22789e-08	0.732778	2.18495   	0.732778	0.0727562 	0.732778	2.18495   	
0.733333	1.3286e-07	0.733333	2.18491   	0.733333	0.0727904 	0.733333	2.18491   	
0.733889	2.22992e-07	0.733889	2.18487   	0.733889	0.072834  	0.733889	2.18487   	
0.734444	1.93797e-06	0.734444	2.18483   	0.734444	0.0728678 	0.734444	2.18483   	
0.735000	4.42718e-06	0.735000	2.1848    	0.735000	0.0729014 	0.735000	2.1848    	
0.735556	9.39001e-06	0.735556	2.18476   	0.735556	0.0729348 	0.735556	2.18477   	
0.736111	1.62611e-05	0.736111	2.18472   	0.736111	0.0729685 	0.736111	2.18473   	
0.736667	2.51669e-05	0.736667	2.18467   	0.736667	0.0730028 	0.736667	2.1847    	
0.737222	3.92251e-05	0.737222	2.18462   	0.737222	0.0730384 	0.737222	2.18466   	
0.737778	5.96414e-05	0.737778	2.18457   	0.737778	0.0730765 	0.737778	2.18463   	
0.738333	8.7702e-05	0.738333	2.1845    	0.738333	0.0731177 	0.738333	2.18458   	
0.738889	0.000126285	0.738889	2.18441   	0.738889	0.0731636 	0.738889	2.18454   	
0.739444	0.000177072	0.739444	2.18431   	0.739444	0.0732166 	0.739444	2.18449   	
0.740000	0.000242855	0.740000	2.18418   	0.740000	0.0732795 	0.740000	2.18442   	
0.740556	0.00032965	0.740556	2.18402   	0.740556	0.073356  	0.740556	2.18435   	
0.741111	0.000445059	0.741111	2.1838    	0.741111	0.0734532 	0.741111	2.18425   	
0.741667	0.000594959	0.741667	2.18354   	0.741667	0.0735711 	0.741667	2.18413   	
0.742222	0.000787011	0.742222	2.1832    	0.742222	0.0737196 	0.742222	2.18398   	
0.742778	0.00102918	0.742778	2.18277   	0.742778	0.0739083 	0.742778	2.18379   	
0.743333	0.0013306 	0.743333	2.18222   	0.743333	0.0741488 	0.743333	2.18355   	
0.743889	0.00170338	0.743889	2.18154   	0.743889	0.0744615 	0.743889	2.18324   	
0.744444	0.00216335	0.744444	2.18069   	0.744444	0.0748502 	0.744444	2.18285   	
0.745000	0.00272608	0.745000	2.17963   	0.745000	0.0753441 	0.745000	2.18236   	
0.745556	0.00340864	0.745556	2.17833   	0.745556	0.0759595 	0.745556	2.18174   	
0.746111	0.00422851	0.746111	2.17674   	0.746111	0.0767343 	0.746111	2.18097   	
0.746667	0.0052084 	0.746667	2.17481   	0.746667	0.0776861 	0.746667	2.18002   	
0.747222	0.00636756	0.747222	2.17249   	0.747222	0.0788498 	0.747222	2.17885   	
0.747778	0.0077248 	0.747778	2.1697    	0.747778	0.0802811 	0.747778	2.17742   	
0.748333	0.00931393	0.748333	2.16638   	0.748333	0.0820101 	0.748333	2.17569   	
0.748889	0.0111489 	0.748889	2.16247   	0.748889	0.0840787 	0.748889	2.17362   	
0.749444	0.0132562 	0.749444	2.15789   	0.749444	0.0865562 	0.749444	2.17115   	
0.750000	0.0156705 	0.750000	2.15256   	0.750000	0.0894742 	0.750000	2.16823   	
0.750556	0.018393  	0.750556	2.14639   	0.750556	0.0929203 	0.750556	2.16478   	
0.751111	0.0214482 	0.751111	2.13933   	0.751111	0.0969222 	0.751111	2.16078   	
0.751667	0.0248545 	0.751667	2.1313    	0.751667	0.101547  	0.751667	2.15616   	
0.752222	0.0286393 	0.752222	2.12223   	0.752222	0.106835  	0.752222	2.15087   	
0.752778	0.0328096 	0.752778	2.11205   	0.752778	0.112843  	0.752778	2.14486   	
0.753333	0.0373535 	0.753333	2.10073   	0.753333	0.119617  	0.753333	2.13809   	
0.753889	0.0422863 	0.753889	2.08826   	0.753889	0.12716   	0.753889	2.13054   	
0.754444	0.0476442 	0.754444	2.07457   	0.754444	0.135491  	0.754444	2.12221   	
0.755000	0.0533623 	0.755000	2.05974   	0.755000	0.144597  	0.755000	2.11311   	
0.755556	0.0594455 	0.755556	2.04381   	0.755556	0.154446  	0.755556	2.10326   	
0.756111	0.065957  	0.756111	2.02674   	0.756111	0.165005  	0.756111	2.0927    	
0.756667	0.0728414 	0.756667	2.0086    	0.756667	0.176256  	0.756667	2.08145   	
0.757222	0.0800543 	0.757222	1.98963   	0.757222	0.188023  	0.757222	2.06968   	
0.757778	0.0876272 	0.757778	1.96997   	0.757778	0.200104  	0.757778	2.0576    	
0.758333	0.0955638 	0.758333	1.94972   	0.758333	0.212415  	0.758333	2.04529   	
0.758889	0.103888  	0.758889	1.92901   	0.758889	0.224806  	0.758889	2.0329    	
0.759444	0.112558  	0.759444	1.90815   	0.759444	0.236997  	0.759444	2.02071   	
0.760000	0.121605  	0.760000	1.88742   	0.760000	0.248676  	0.760000	2.00903   	
0.760556	0.131059  	0.760556	1.86697   	0.760556	0.259672  	0.760556	1.99803   	
0.761111	0.14097   	0.761111	1.84687   	0.761111	0.269859  	0.761111	1.98784   	
0.761667	0.151381  	0.761667	1.82722   	0.761667	0.279106  	0.761667	1.9786    	
0.762222	0.162375  	0.762222	1.80802   	0.762222	0.287306  	0.762222	1.9704    	
0.762778	0.174037  	0.762778	1.7891    	0.762778	0.294564  	0.762778	1.96314   	
0.763333	0.186448  	0.763333	1.77043   	0.763333	0.300827  	0.763333	1.95688   	
0.763889	0.19959   	0.763889	1.7517    	0.763889	0.306409  	0.763889	1.95129   	
0.764444	0.213415  	0.764444	1.73298   	0.764444	0.311312  	0.764444	1.94639   	
0.765000	0.227928  	0.765000	1.7141    	0.765000	0.315674  	0.765000	1.94203   	
0.765556	0.243078  	0.765556	1.69492   	0.765556	0.319702  	0.765556	1.938     	
0.766111	0.258803  	0.766111	1.6754    	0.766111	0.3235    	0.766111	1.9342    	
0.766667	0.275356  	0.766667	1.65469   	0.766667	0.327652  	0.766667	1.93005   	
0.767222	0.292588  	0.767222	1.63237   	0.767222	0.332745  	0.767222	1.92496   	
0.767778	0.31063   	0.767778	1.60797   	0.767778	0.339107  	0.767778	1.9186    	
0.768333	0.328288  	0.768333	1.58037   	0.768333	0.349045  	0.768333	1.90866   	
0.768889	0.346819  	0.768889	1.54746   	0.768889	0.36342   	0.768889	1.89428   	
0.769444	0.367368  	0.769444	1.5066    	0.769444	0.383733  	0.769444	1.87397   	
0.770000	0.38843   	0.770000	1.45615   	0.770000	0.413125  	0.770000	1.84458   	
0.770556	0.408297  	0.770556	1.39225   	0.770556	0.457152  	0.770556	1.80055   	
0.771111	0.423518  	0.771111	1.31096   	0.771111	0.523228  	0.771111	1.73447   	
0.771667	0.43907   	0.771667	1.20496   	0.771667	0.613671  	0.771667	1.64403   	
0.772222	0.446044  	0.772222	1.07083   	0.772222	0.740828  	0.772222	1.51687   	
0.772778	0.439555  	0.772778	0.916744  	0.772778	0.901404  	0.772778	1.3563    	
0.773333	0.428776  	0.773333	0.743481  	0.773333	1.08545   	0.773333	1.17226   	
0.773889	0.404678  	0.773889	0.573185  	0.773889	1.27984   	0.773889	0.977863  	
0.774444	0.374344  	0.774444	0.426905  	0.774444	1.45645   	0.774444	0.80125   	
0.775000	0.345795  	0.775000	0.318046  	0.775000	1.59386   	0.775000	0.663842  	
0.775556	0.320345  	0.775556	0.244321  	0.775556	1.69304   	0.775556	0.564667  	
0.776111	0.297687  	0.776111	0.191386  	0.776111	1.76863   	0.776111	0.489073  	
0.776667	0.277634  	0.776667	0.153659  	0.776667	1.82641   	0.776667	0.431293  	
0.777222	0.17113   	0.777222	0.0231664 	0.777222	2.06341   	0.777222	0.194296  	
0.777778	0.148507  	0.777778	0.0109094 	0.777778	2.09829   	0.777778	0.159416  	
0.778333	0.102717  	0.778333	1.00217e-07	0.778333	2.15498   	0.778333	0.102718  	
0.778889	0.0993115 	0.778889	0         	0.778889	2.15839   	0.778889	0.0993115 	
0.779444	0.0510741 	0.779444	0         	0.779444	2.20663   	0.779444	0.0510741 	
0.780000	0.0522248 	0.780000	0         	0.780000	2.20548   	0.780000	0.0522248 	
0.780556	0.0405603 	0.780556	0         	0.780556	2.21714   	0.780556	0.0405603 	
0.781111	4.25528e-07	0.781111	0         	0.781111	2.2577    	0.781111	4.25528e-07	
0.781667	2.84596e-10	0.781667	0         	0.781667	2.2577    	0.781667	2.84596e-10	
0.782222	0.00591581	0.782222	0         	0.782222	2.25179   	0.782222	0.00591581	
0.782778	0.0030459 	0.782778	0         	0.782778	2.25466   	0.782778	0.0030459 	
0.783333	0.00154153	0.783333	0         	0.783333	2.25616   	0.783333	0.00154153	
0.783889	3.15323e-17	0.783889	0         	0.783889	2.2577    	0.783889	3.15323e-17	
0.784444	0         	0.784444	0         	0.784444	2.2577    	0.784444	0         	
0.785000	0         	0.785000	0         	0.785000	2.2577    	0.785000	0         	
0.785556	0         	0.785556	0         	0.785556	2.2577    	0.785556	0         	
0.786111	0         	0.786111	0         	0.786111	2.2577    	0.786111	0         	
0.786667	0         	0.786667	0         	0.786667	2.2577    	0.786667	0         	
0.787222	0         	0.787222	0         	0.787222	2.2577    	0.787222	0         	
0.787778	0         	0.787778	0         	0.787778	2.2577    	0.787778	0         	
0.788333	0         	0.788333	0         	0.788333	2.2577    	0.788333	0         	
0.788889	0         	0.788889	0         	0.788889	2.2577    	0.788889	0         	
0.789444	0         	0.789444	0         	0.789444	2.2577    	0.789444	0         	
0.790000	0         	0.790000	0         	0.790000	2.2577    	0.790000	0         	
0.790556	0         	0.790556	0         	0.790556	2.2577    	0.790556	0         	
0.791111	0         	0.791111	0         	0.791111	2.2577    	0.791111	0         	
0.791667	0         	0.791667	0         	0.791667	2.2577    	0.791667	0         	
0.792222	0         	0.792222	0         	0.792222	2.2577    	0.792222	0         	
0.792778	0         	0.792778	0         	0.792778	2.2577    	0.792778	0         	
0.793333	0         	0.793333	0         	0.793333	2.2577    	0.793333	0         	
0.793889	0         	0.793889	0         	0.793889	2.2577    	0.793889	0         	
0.794444	0         	0.794444	0         	0.794444	2.2577    	0.794444	0         	
