Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.760000	0         	0.760000	9.12      	0.760000	0.31422   	0.760000	9.12      	
0.760889	0         	0.760889	9.1197    	0.760889	0.31452   	0.760889	9.1197    	
0.761778	0         	0.761778	9.1194    	0.761778	0.31482   	0.761778	9.1194    	
0.762667	0         	0.762667	9.1191    	0.762667	0.315119  	0.762667	9.1191    	
0.763556	0         	0.763556	9.1188    	0.763556	0.315417  	0.763556	9.1188    	
0.764444	0         	0.764444	9.1185    	0.764444	0.315716  	0.764444	9.1185    	
0.765333	0         	0.765333	9.1182    	0.765333	0.316013  	0.765333	9.1182    	
0.766222	0         	0.766222	9.1179    	0.766222	0.31631   	0.766222	9.1179    	
0.767111	0         	0.767111	9.11761   	0.767111	0.316607  	0.767111	9.11761   	
0.768000	0         	0.768000	9.11731   	0.768000	0.316903  	0.768000	9.11731   	
0.768889	0         	0.768889	9.11702   	0.768889	0.317199  	0.768889	9.11702   	
0.769778	0         	0.769778	9.11672   	0.769778	0.317494  	0.769778	9.11672   	
0.770667	0         	0.770667	9.11643   	0.770667	0.317789  	0.770667	9.11643   	
0.771556	0         	0.771556	9.11613   	0.771556	0.318083  	0.771556	9.11613   	
0.772444	0         	0.772444	9.11584   	0.772444	0.318377  	0.772444	9.11584   	
0.773333	0         	0.773333	9.11555   	0.773333	0.31867   	0.773333	9.11555   	
0.774222	0         	0.774222	9.11525   	0.774222	0.318962  	0.774222	9.11525   	
0.775111	0         	0.775111	9.11496   	0.775111	0.319254  	0.775111	9.11496   	
0.776000	0         	0.776000	9.11467   	0.776000	0.319545  	0.776000	9.11467   	
0.776889	0         	0.776889	9.11438   	0.776889	0.319835  	0.776889	9.11438   	
0.777778	0         	0.777778	9.11409   	0.777778	0.320125  	0.777778	9.11409   	
0.778667	0         	0.778667	9.1138    	0.778667	0.320414  	0.778667	9.1138    	
0.779556	0         	0.779556	9.11351   	0.779556	0.320702  	0.779556	9.11351   	
0.780444	0         	0.780444	9.11323   	0.780444	0.320989  	0.780444	9.11323   	
0.781333	0         	0.781333	9.11294   	0.781333	0.321276  	0.781333	9.11294   	
0.782222	0         	0.782222	9.11265   	0.782222	0.321562  	0.782222	9.11265   	
0.783111	0         	0.783111	9.11237   	0.783111	0.321847  	0.783111	9.11237   	
0.784000	0         	0.784000	9.11208   	0.784000	0.322131  	0.784000	9.11208   	
0.784889	0         	0.784889	9.1118    	0.784889	0.322414  	0.784889	9.1118    	
0.785778	0         	0.785778	9.11152   	0.785778	0.322696  	0.785778	9.11152   	
0.786667	0         	0.786667	9.11124   	0.786667	0.322978  	0.786667	9.11124   	
0.787556	0         	0.787556	9.11096   	0.787556	0.323258  	0.787556	9.11096   	
0.788444	0         	0.788444	9.11068   	0.788444	0.323538  	0.788444	9.11068   	
0.789333	0         	0.789333	9.1104    	0.789333	0.323817  	0.789333	9.1104    	
0.790222	0         	0.790222	9.11012   	0.790222	0.324094  	0.790222	9.11012   	
0.791111	0         	0.791111	9.10984   	0.791111	0.324371  	0.791111	9.10984   	
0.792000	0         	0.792000	9.10957   	0.792000	0.324647  	0.792000	9.10957   	
0.792889	0         	0.792889	9.10929   	0.792889	0.324922  	0.792889	9.10929   	
0.793778	0         	0.793778	9.10902   	0.793778	0.325196  	0.793778	9.10902   	
0.794667	0         	0.794667	9.10875   	0.794667	0.325468  	0.794667	9.10875   	
0.795556	0         	0.795556	9.10848   	0.795556	0.32574   	0.795556	9.10848   	
0.796444	0         	0.796444	9.10821   	0.796444	0.32601   	0.796444	9.10821   	
0.797333	0         	0.797333	9.10794   	0.797333	0.326279  	0.797333	9.10794   	
0.798222	0         	0.798222	9.10767   	0.798222	0.326547  	0.798222	9.10767   	
0.799111	0         	0.799111	9.1074    	0.799111	0.326814  	0.799111	9.1074    	
0.800000	0         	0.800000	9.10714   	0.800000	0.327079  	0.800000	9.10714   	
0.800889	0         	0.800889	9.10687   	0.800889	0.327343  	0.800889	9.10687   	
0.801778	0         	0.801778	9.10661   	0.801778	0.327605  	0.801778	9.10661   	
0.802667	0         	0.802667	9.10635   	0.802667	0.327866  	0.802667	9.10635   	
0.803556	0         	0.803556	9.10609   	0.803556	0.328126  	0.803556	9.10609   	
0.804444	0         	0.804444	9.10583   	0.804444	0.328384  	0.804444	9.10583   	
0.805333	0         	0.805333	9.10558   	0.805333	0.32864   	0.805333	9.10558   	
0.806222	0         	0.806222	9.10532   	0.806222	0.328895  	0.806222	9.10532   	
0.807111	0         	0.807111	9.10507   	0.807111	0.329147  	0.807111	9.10507   	
0.808000	0         	0.808000	9.10482   	0.808000	0.329398  	0.808000	9.10482   	
0.808889	0         	0.808889	9.10457   	0.808889	0.329647  	0.808889	9.10457   	
0.809778	0         	0.809778	9.10432   	0.809778	0.329894  	0.809778	9.10432   	
0.810667	0         	0.810667	9.10408   	0.810667	0.330139  	0.810667	9.10408   	
0.811556	0         	0.811556	9.10383   	0.811556	0.330382  	0.811556	9.10383   	
0.812444	0         	0.812444	9.10359   	0.812444	0.330622  	0.812444	9.10359   	
0.813333	0         	0.813333	9.10335   	0.813333	0.33086   	0.813333	9.10335   	
0.814222	0         	0.814222	9.10312   	0.814222	0.331096  	0.814222	9.10312   	
0.815111	0         	0.815111	9.10289   	0.815111	0.331329  	0.815111	9.10289   	
0.816000	6.1528e-08	0.816000	9.10266   	0.816000	0.331559  	0.816000	9.10266   	
0.816889	9.17773e-06	0.816889	9.10242   	0.816889	0.331786  	0.816889	9.10243   	
0.817778	3.5394e-05	0.817778	9.10215   	0.817778	0.332031  	0.817778	9.10218   	
0.818667	0.00018289	0.818667	9.10178   	0.818667	0.332256  	0.818667	9.10196   	
0.819556	0.000450706	0.819556	9.10126   	0.819556	0.332509  	0.819556	9.10171   	
0.820444	0.000699291	0.820444	9.10066   	0.820444	0.332852  	0.820444	9.10136   	
0.821333	0.00112473	0.821333	9.09972   	0.821333	0.333367  	0.821333	9.10085   	
0.822222	0.00171768	0.822222	9.09841   	0.822222	0.334083  	0.822222	9.10013   	
0.823111	0.00260931	0.823111	9.09652   	0.823111	0.335083  	0.823111	9.09913   	
0.824000	0.00390222	0.824000	9.0938    	0.824000	0.336509  	0.824000	9.09771   	
0.824889	0.00573041	0.824889	9.08993   	0.824889	0.338555  	0.824889	9.09566   	
0.825778	0.0082719 	0.825778	9.08444   	0.825778	0.341505  	0.825778	9.09271   	
0.826667	0.0117305 	0.826667	9.07676   	0.826667	0.345728  	0.826667	9.08849   	
0.827556	0.0163389 	0.827556	9.06618   	0.827556	0.351695  	0.827556	9.08252   	
0.828444	0.0223473 	0.828444	9.05188   	0.828444	0.359988  	0.828444	9.07423   	
0.829333	0.0300194 	0.829333	9.03288   	0.829333	0.371314  	0.829333	9.0629    	
0.830222	0.039623  	0.830222	9.00807   	0.830222	0.386518  	0.830222	9.0477    	
0.831111	0.0514084 	0.831111	8.9763    	0.831111	0.406508  	0.831111	9.02771   	
0.832000	0.0656081 	0.832000	8.93625   	0.832000	0.432356  	0.832000	9.00186   	
0.832889	0.0823815 	0.832889	8.88677   	0.832889	0.465059  	0.832889	8.96916   	
0.833778	0.101841  	0.833778	8.8267    	0.833778	0.505674  	0.833778	8.92854   	
0.834667	0.123984  	0.834667	8.75524   	0.834667	0.554989  	0.834667	8.87923   	
0.835556	0.14878   	0.835556	8.67169   	0.835556	0.613749  	0.835556	8.82047   	
0.836444	0.176147  	0.836444	8.57567   	0.836444	0.682402  	0.836444	8.75181   	
0.837333	0.205936  	0.837333	8.46734   	0.837333	0.760935  	0.837333	8.67328   	
0.838222	0.237884  	0.838222	8.34707   	0.838222	0.849259  	0.838222	8.58496   	
0.839111	0.271334  	0.839111	8.21637   	0.839111	0.946514  	0.839111	8.4877    	
0.840000	0.305547  	0.840000	8.0831    	0.840000	1.04557   	0.840000	8.38864   	
0.840889	0.340149  	0.840889	7.95625   	0.840889	1.13781   	0.840889	8.2964    	
0.841778	0.37593   	0.841778	7.83611   	0.841778	1.22218   	0.841778	8.21204   	
0.842667	0.413687  	0.842667	7.71815   	0.842667	1.30238   	0.842667	8.13184   	
0.843556	0.453453  	0.843556	7.60661   	0.843556	1.37415   	0.843556	8.06007   	
0.844444	0.495839  	0.844444	7.5168    	0.844444	1.42157   	0.844444	8.01264   	
0.845333	0.541353  	0.845333	7.46009   	0.845333	1.43277   	0.845333	8.00144   	
0.846222	0.59191   	0.846222	7.43507   	0.846222	1.40723   	0.846222	8.02699   	
0.847111	0.651133  	0.847111	7.42346   	0.847111	1.35962   	0.847111	8.0746    	
0.848000	0.723497  	0.848000	7.40151   	0.848000	1.3092    	0.848000	8.12501   	
0.848889	0.81298   	0.848889	7.35637   	0.848889	1.26486   	0.848889	8.16935   	
0.849778	0.92291   	0.849778	7.27298   	0.849778	1.23832   	0.849778	8.19589   	
0.850667	1.05399   	0.850667	7.10718   	0.850667	1.27304   	0.850667	8.16118   	
0.851556	1.19477   	0.851556	6.84399   	0.851556	1.39546   	0.851556	8.03875   	
0.852444	1.30586   	0.852444	6.44494   	0.852444	1.68342   	0.852444	7.75079   	
0.853333	1.37988   	0.853333	5.94305   	0.853333	2.11129   	0.853333	7.32293   	
0.854222	1.43807   	0.854222	5.32027   	0.854222	2.67588   	0.854222	6.75834   	
0.855111	1.47444   	0.855111	4.55305   	0.855111	3.40673   	0.855111	6.02749   	
0.856000	1.48661   	0.856000	3.71795   	0.856000	4.22965   	0.856000	5.20456   	
0.856889	1.47733   	0.856889	2.92672   	0.856889	5.03016   	0.856889	4.40405   	
0.857778	1.68319   	0.857778	1.06513   	0.857778	6.68589   	0.857778	2.74832   	
0.858667	1.54058   	0.858667	0.488638  	0.858667	7.405     	0.858667	2.02922   	
0.859556	1.2279    	0.859556	0.000836358	0.859556	8.20547   	0.859556	1.22874   	
0.860444	0.945161  	0.860444	0         	0.860444	8.48905   	0.860444	0.945161  	
0.861333	0.496453  	0.861333	0         	0.861333	8.93776   	0.861333	0.496453  	
0.862222	0.164597  	0.862222	0         	0.862222	9.26962   	0.862222	0.164597  	
0.863111	1.03437e-09	0.863111	0         	0.863111	9.43422   	0.863111	1.03437e-09	
