Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.750000	0         	0.750000	58.9712   	0.750000	2.01026   	0.750000	58.9712   	
0.750778	0         	0.750778	58.9695   	0.750778	2.0119    	0.750778	58.9695   	
0.751556	0         	0.751556	58.9679   	0.751556	2.01353   	0.751556	58.9679   	
0.752333	0         	0.752333	58.9663   	0.752333	2.01516   	0.752333	58.9663   	
0.753111	0         	0.753111	58.9646   	0.753111	2.01679   	0.753111	58.9646   	
0.753889	0         	0.753889	58.963    	0.753889	2.01841   	0.753889	58.963    	
0.754667	0         	0.754667	58.9614   	0.754667	2.02003   	0.754667	58.9614   	
0.755444	0         	0.755444	58.9598   	0.755444	2.02165   	0.755444	58.9598   	
0.756222	0         	0.756222	58.9582   	0.756222	2.02326   	0.756222	58.9582   	
0.757000	0         	0.757000	58.9566   	0.757000	2.02487   	0.757000	58.9566   	
0.757778	0         	0.757778	58.955    	0.757778	2.02647   	0.757778	58.955    	
0.758556	0         	0.758556	58.9534   	0.758556	2.02807   	0.758556	58.9534   	
0.759333	0         	0.759333	58.9518   	0.759333	2.02966   	0.759333	58.9518   	
0.760111	0         	0.760111	58.9502   	0.760111	2.03125   	0.760111	58.9502   	
0.760889	0         	0.760889	58.9486   	0.760889	2.03284   	0.760889	58.9486   	
0.761667	0         	0.761667	58.947    	0.761667	2.03442   	0.761667	58.947    	
0.762444	0         	0.762444	58.9454   	0.762444	2.036     	0.762444	58.9454   	
0.763222	0         	0.763222	58.9439   	0.763222	2.03757   	0.763222	58.9439   	
0.764000	0         	0.764000	58.9423   	0.764000	2.03913   	0.764000	58.9423   	
0.764778	0         	0.764778	58.9407   	0.764778	2.0407    	0.764778	58.9407   	
0.765556	0         	0.765556	58.9392   	0.765556	2.04225   	0.765556	58.9392   	
0.766333	0         	0.766333	58.9376   	0.766333	2.0438    	0.766333	58.9376   	
0.767111	0         	0.767111	58.9361   	0.767111	2.04535   	0.767111	58.9361   	
0.767889	0         	0.767889	58.9345   	0.767889	2.04689   	0.767889	58.9345   	
0.768667	0         	0.768667	58.933    	0.768667	2.04842   	0.768667	58.933    	
0.769444	0         	0.769444	58.9315   	0.769444	2.04995   	0.769444	58.9315   	
0.770222	0         	0.770222	58.93     	0.770222	2.05147   	0.770222	58.93     	
0.771000	0         	0.771000	58.9284   	0.771000	2.05298   	0.771000	58.9284   	
0.771778	0         	0.771778	58.9269   	0.771778	2.05449   	0.771778	58.9269   	
0.772556	0         	0.772556	58.9254   	0.772556	2.05599   	0.772556	58.9254   	
0.773333	0         	0.773333	58.9239   	0.773333	2.05748   	0.773333	58.9239   	
0.774111	0         	0.774111	58.9225   	0.774111	2.05897   	0.774111	58.9225   	
0.774889	0         	0.774889	58.921    	0.774889	2.06045   	0.774889	58.921    	
0.775667	0         	0.775667	58.9195   	0.775667	2.06192   	0.775667	58.9195   	
0.776444	0         	0.776444	58.918    	0.776444	2.06338   	0.776444	58.918    	
0.777222	0         	0.777222	58.9166   	0.777222	2.06484   	0.777222	58.9166   	
0.778000	0         	0.778000	58.9151   	0.778000	2.06628   	0.778000	58.9151   	
0.778778	0         	0.778778	58.9137   	0.778778	2.06771   	0.778778	58.9137   	
0.779556	0         	0.779556	58.9123   	0.779556	2.06914   	0.779556	58.9123   	
0.780333	0         	0.780333	58.9109   	0.780333	2.07055   	0.780333	58.9109   	
0.781111	0         	0.781111	58.9095   	0.781111	2.07196   	0.781111	58.9095   	
0.781889	0         	0.781889	58.9081   	0.781889	2.07335   	0.781889	58.9081   	
0.782667	0         	0.782667	58.9067   	0.782667	2.07473   	0.782667	58.9067   	
0.783444	0         	0.783444	58.9053   	0.783444	2.07611   	0.783444	58.9053   	
0.784222	0         	0.784222	58.904    	0.784222	2.07747   	0.784222	58.904    	
0.785000	0         	0.785000	58.9026   	0.785000	2.07882   	0.785000	58.9026   	
0.785778	0         	0.785778	58.9013   	0.785778	2.08015   	0.785778	58.9013   	
0.786556	0         	0.786556	58.9      	0.786556	2.08148   	0.786556	58.9      	
0.787333	9.32476e-09	0.787333	58.8986   	0.787333	2.08279   	0.787333	58.8986   	
0.788111	3.48537e-06	0.788111	58.8973   	0.788111	2.08408   	0.788111	58.8973   	
0.788889	5.20332e-05	0.788889	58.8957   	0.788889	2.08566   	0.788889	58.8958   	
0.789667	0.000221279	0.789667	58.8943   	0.789667	2.08694   	0.789667	58.8945   	
0.790444	0.000782116	0.790444	58.8924   	0.790444	2.08822   	0.790444	58.8932   	
0.791222	0.00176173	0.791222	58.8901   	0.791222	2.0896    	0.791222	58.8918   	
0.792000	0.0030514 	0.792000	58.8871   	0.792000	2.09124   	0.792000	58.8902   	
0.792778	0.00492176	0.792778	58.8831   	0.792778	2.09343   	0.792778	58.888    	
0.793556	0.0071156 	0.793556	58.8779   	0.793556	2.09637   	0.793556	58.8851   	
0.794333	0.0103868 	0.794333	58.8707   	0.794333	2.10038   	0.794333	58.8811   	
0.795111	0.0150028 	0.795111	58.8606   	0.795111	2.1058    	0.795111	58.8756   	
0.795889	0.0213684 	0.795889	58.847    	0.795889	2.11309   	0.795889	58.8683   	
0.796667	0.0300432 	0.796667	58.8283   	0.796667	2.1231    	0.796667	58.8583   	
0.797444	0.0416734 	0.797444	58.8029   	0.797444	2.13685   	0.797444	58.8446   	
0.798222	0.0570406 	0.798222	58.7687   	0.798222	2.15568   	0.798222	58.8257   	
0.799000	0.0770304 	0.799000	58.7231   	0.799000	2.1813    	0.799000	58.8001   	
0.799778	0.102601  	0.799778	58.6631   	0.799778	2.21575   	0.799778	58.7657   	
0.800556	0.134814  	0.800556	58.585    	0.800556	2.26157   	0.800556	58.7199   	
0.801333	0.174785  	0.801333	58.485    	0.801333	2.32164   	0.801333	58.6598   	
0.802111	0.22362   	0.802111	58.3583   	0.802111	2.39954   	0.802111	58.5819   	
0.802889	0.282453  	0.802889	58.2      	0.802889	2.49896   	0.802889	58.4825   	
0.803667	0.352292  	0.803667	58.0052   	0.803667	2.62396   	0.803667	58.3575   	
