Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.780556	1.98414   	0.780556	114.348   	0.780556	8.20901   	0.780556	116.332   	
0.781111	2.19605   	0.781111	113.579   	0.781111	8.76591   	0.781111	115.775   	
0.781667	2.42029   	0.781667	112.755   	0.781667	9.36653   	0.781667	115.175   	
0.782222	2.65448   	0.782222	111.876   	0.782222	10.011    	0.782222	114.53    	
0.782778	2.89669   	0.782778	110.956   	0.782778	10.6885   	0.782778	113.853   	
0.783333	3.14765   	0.783333	110.002   	0.783333	11.3912   	0.783333	113.15    	
0.783889	3.40836   	0.783889	109.006   	0.783889	12.1271   	0.783889	112.414   	
0.784444	3.67494   	0.784444	107.997   	0.784444	12.8695   	0.784444	111.672   	
0.785000	3.94683   	0.785000	106.991   	0.785000	13.6038   	0.785000	110.938   	
0.785556	4.22525   	0.785556	105.999   	0.785556	14.3174   	0.785556	110.224   	
0.786111	4.51009   	0.786111	105.028   	0.786111	15.0036   	0.786111	109.538   	
0.786667	4.80137   	0.786667	104.09    	0.786667	15.65     	0.786667	108.891   	
0.787222	5.10029   	0.787222	103.204   	0.787222	16.2371   	0.787222	108.304   	
0.787778	5.40917   	0.787778	102.38    	0.787778	16.7519   	0.787778	107.789   	
0.788333	5.72952   	0.788333	101.631   	0.788333	17.1812   	0.788333	107.36    	
0.788889	6.06591   	0.788889	100.955   	0.788889	17.5204   	0.788889	107.021   	
0.789444	6.42368   	0.789444	100.362   	0.789444	17.756    	0.789444	106.785   	
0.790000	6.80629   	0.790000	99.8566   	0.790000	17.8785   	0.790000	106.663   	
0.790556	7.22131   	0.790556	99.4279   	0.790556	17.8922   	0.790556	106.649   	
0.791111	7.67312   	0.791111	99.0656   	0.791111	17.8026   	0.791111	106.739   	
0.791667	8.16101   	0.791667	98.7524   	0.791667	17.6279   	0.791667	106.913   	
0.792222	8.68525   	0.792222	98.4627   	0.792222	17.3934   	0.792222	107.148   	
0.792778	9.29343   	0.792778	98.114    	0.792778	17.134    	0.792778	107.407   	
