Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	3.23323   	1.900000	0.277465  	1.900000	3.23323   	
1.901000	0         	1.901000	3.2331    	1.901000	0.277595  	1.901000	3.2331    	
1.902000	0         	1.902000	3.23297   	1.902000	0.277726  	1.902000	3.23297   	
1.903000	0         	1.903000	3.23284   	1.903000	0.277856  	1.903000	3.23284   	
1.904000	0         	1.904000	3.23271   	1.904000	0.277987  	1.904000	3.23271   	
1.905000	0         	1.905000	3.23258   	1.905000	0.278117  	1.905000	3.23258   	
1.906000	0         	1.906000	3.23245   	1.906000	0.278247  	1.906000	3.23245   	
1.907000	0         	1.907000	3.23232   	1.907000	0.278377  	1.907000	3.23232   	
1.908000	0         	1.908000	3.23219   	1.908000	0.278508  	1.908000	3.23219   	
1.909000	0         	1.909000	3.23206   	1.909000	0.278638  	1.909000	3.23206   	
1.910000	0         	1.910000	3.23193   	1.910000	0.278768  	1.910000	3.23193   	
1.911000	0         	1.911000	3.2318    	1.911000	0.278898  	1.911000	3.2318    	
1.912000	0         	1.912000	3.23167   	1.912000	0.279028  	1.912000	3.23167   	
1.913000	0         	1.913000	3.23154   	1.913000	0.279158  	1.913000	3.23154   	
1.914000	0         	1.914000	3.23141   	1.914000	0.279288  	1.914000	3.23141   	
1.915000	0         	1.915000	3.23128   	1.915000	0.279418  	1.915000	3.23128   	
1.916000	0         	1.916000	3.23115   	1.916000	0.279548  	1.916000	3.23115   	
1.917000	0         	1.917000	3.23102   	1.917000	0.279678  	1.917000	3.23102   	
1.918000	0         	1.918000	3.23089   	1.918000	0.279807  	1.918000	3.23089   	
1.919000	0         	1.919000	3.23076   	1.919000	0.279937  	1.919000	3.23076   	
1.920000	0         	1.920000	3.23063   	1.920000	0.280067  	1.920000	3.23063   	
1.921000	0         	1.921000	3.2305    	1.921000	0.280196  	1.921000	3.2305    	
1.922000	0         	1.922000	3.23037   	1.922000	0.280326  	1.922000	3.23037   	
1.923000	0         	1.923000	3.23024   	1.923000	0.280455  	1.923000	3.23024   	
1.924000	0         	1.924000	3.23011   	1.924000	0.280585  	1.924000	3.23011   	
1.925000	0         	1.925000	3.22998   	1.925000	0.280714  	1.925000	3.22998   	
1.926000	0         	1.926000	3.22985   	1.926000	0.280843  	1.926000	3.22985   	
1.927000	0         	1.927000	3.22972   	1.927000	0.280972  	1.927000	3.22972   	
1.928000	0         	1.928000	3.22959   	1.928000	0.281102  	1.928000	3.22959   	
1.929000	0         	1.929000	3.22946   	1.929000	0.281231  	1.929000	3.22946   	
1.930000	0         	1.930000	3.22934   	1.930000	0.28136   	1.930000	3.22934   	
1.931000	0         	1.931000	3.22921   	1.931000	0.281489  	1.931000	3.22921   	
1.932000	0         	1.932000	3.22908   	1.932000	0.281618  	1.932000	3.22908   	
1.933000	0         	1.933000	3.22895   	1.933000	0.281747  	1.933000	3.22895   	
1.934000	0         	1.934000	3.22882   	1.934000	0.281875  	1.934000	3.22882   	
1.935000	0         	1.935000	3.22869   	1.935000	0.282004  	1.935000	3.22869   	
1.936000	0         	1.936000	3.22856   	1.936000	0.282133  	1.936000	3.22856   	
1.937000	0         	1.937000	3.22843   	1.937000	0.282261  	1.937000	3.22843   	
1.938000	0         	1.938000	3.22831   	1.938000	0.28239   	1.938000	3.22831   	
1.939000	0         	1.939000	3.22818   	1.939000	0.282518  	1.939000	3.22818   	
1.940000	0         	1.940000	3.22805   	1.940000	0.282646  	1.940000	3.22805   	
1.941000	0         	1.941000	3.22792   	1.941000	0.282774  	1.941000	3.22792   	
1.942000	0         	1.942000	3.22779   	1.942000	0.282902  	1.942000	3.22779   	
1.943000	0         	1.943000	3.22766   	1.943000	0.28303   	1.943000	3.22766   	
1.944000	0         	1.944000	3.22754   	1.944000	0.283158  	1.944000	3.22754   	
1.945000	0         	1.945000	3.22741   	1.945000	0.283286  	1.945000	3.22741   	
1.946000	0         	1.946000	3.22728   	1.946000	0.283414  	1.946000	3.22728   	
1.947000	0         	1.947000	3.22715   	1.947000	0.283542  	1.947000	3.22715   	
1.948000	0         	1.948000	3.22703   	1.948000	0.283669  	1.948000	3.22703   	
1.949000	0         	1.949000	3.2269    	1.949000	0.283797  	1.949000	3.2269    	
1.950000	0         	1.950000	3.22677   	1.950000	0.283924  	1.950000	3.22677   	
1.951000	0         	1.951000	3.22664   	1.951000	0.284051  	1.951000	3.22664   	
1.952000	0         	1.952000	3.22652   	1.952000	0.284179  	1.952000	3.22652   	
1.953000	0         	1.953000	3.22639   	1.953000	0.284306  	1.953000	3.22639   	
1.954000	0         	1.954000	3.22626   	1.954000	0.284433  	1.954000	3.22626   	
1.955000	0         	1.955000	3.22614   	1.955000	0.28456   	1.955000	3.22614   	
1.956000	0         	1.956000	3.22601   	1.956000	0.284687  	1.956000	3.22601   	
1.957000	0         	1.957000	3.22588   	1.957000	0.284814  	1.957000	3.22588   	
1.958000	0         	1.958000	3.22576   	1.958000	0.28494   	1.958000	3.22576   	
1.959000	0         	1.959000	3.22563   	1.959000	0.285067  	1.959000	3.22563   	
1.960000	0         	1.960000	3.2255    	1.960000	0.285193  	1.960000	3.2255    	
1.961000	0         	1.961000	3.22538   	1.961000	0.28532   	1.961000	3.22538   	
1.962000	0         	1.962000	3.22525   	1.962000	0.285446  	1.962000	3.22525   	
1.963000	0         	1.963000	3.22512   	1.963000	0.285572  	1.963000	3.22512   	
1.964000	0         	1.964000	3.225     	1.964000	0.285698  	1.964000	3.225     	
1.965000	0         	1.965000	3.22487   	1.965000	0.285824  	1.965000	3.22487   	
