Thickness of SUS flat deg [mm]1	138Sn 50+	Thickness of SUS flat deg [mm]2	138Sn 50+	Thickness of SUS flat deg [mm]3	138Sn 50+	Thickness of SUS flat deg [mm]4	138Sn 49+	Thickness of SUS flat deg [mm]5	138Sn 49+	Thickness of SUS flat deg [mm]6	138Sn 49+	Thickness of SUS flat deg [mm]7	138Sn 48+	Thickness of SUS flat deg [mm]8	138Sn 48+	Thickness of SUS flat deg [mm]9	138Sn 48+	Thickness of SUS flat deg [mm]10	138Sn 50+	Thickness of SUS flat deg [mm]11	138Sn 50+	Thickness of SUS flat deg [mm]12	138Sn 50+	Thickness of SUS flat deg [mm]13	138Sn 49+	Thickness of SUS flat deg [mm]14	138Sn 49+	Thickness of SUS flat deg [mm]15	138Sn 49+	Thickness of SUS flat deg [mm]16	138Sn 48+	Thickness of SUS flat deg [mm]17	138Sn 50+	Thickness of SUS flat deg [mm]18	138Sn 50+	Thickness of SUS flat deg [mm]19	138Sn 49+	Thickness of SUS flat deg [mm]20	138Sn 50+	Thickness of SUS flat deg [mm]21	138Sn 49+	Thickness of SUS flat deg [mm]22	138Sn 48+	Thickness of SUS flat deg [mm]23	138Sn 50+	Thickness of SUS flat deg [mm]24	138Sn 49+	Thickness of SUS flat deg [mm]25	138Sn 50+	Thickness of SUS flat deg [mm]26	138Sn 49+	Thickness of SUS flat deg [mm]27	138Sn 50+	Thickness of SUS flat deg [mm]28	138Sn 49+	Thickness of SUS flat deg [mm]29	138Sn 50+	Thickness of SUS flat deg [mm]30	136Sn 50+	Thickness of SUS flat deg [mm]31	141Te 52+	Thickness of SUS flat deg [mm]32	139Sb 51+	Thickness of SUS flat deg [mm]33	141Te 51+	Thickness of SUS flat deg [mm]34	136Sn 49+	Thickness of SUS flat deg [mm]35	137Sn 50+	Thickness of SUS flat deg [mm]36	138Sb 51+	Thickness of SUS flat deg [mm]37	139Sb 50+	Thickness of SUS flat deg [mm]38	138Sb 50+	Thickness of SUS flat deg [mm]39	137Sn 49+	Thickness of SUS flat deg [mm]40	135In 49+	Thickness of SUS flat deg [mm]41	141Te 50+	Thickness of SUS flat deg [mm]42	136Sn 48+	Thickness of SUS flat deg [mm]43	139Sb 49+	Thickness of SUS flat deg [mm]44	136Sn 50+	Thickness of SUS flat deg [mm]45	136Sn 50+	Thickness of SUS flat deg [mm]46	135In 48+	Thickness of SUS flat deg [mm]47	138Sb 49+	Thickness of SUS flat deg [mm]48	137Sn 48+	Thickness of SUS flat deg [mm]49	136Sn 49+	Thickness of SUS flat deg [mm]50	136Sn 49+	
1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	1.48687e-09	1.860000	1.64638e-10	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	1.860000	0         	
1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	2.01567e-09	1.861000	2.25783e-10	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	1.861000	0         	
1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	2.65992e-09	1.862000	3.01077e-10	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	1.862000	0         	
1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	3.42583e-09	1.863000	3.91501e-10	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	1.863000	0         	
1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	4.32118e-09	1.864000	4.97905e-10	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	1.864000	0         	
1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	5.35055e-09	1.865000	6.20834e-10	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	1.865000	0         	
1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	6.52387e-09	1.866000	7.61423e-10	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	1.866000	0         	
1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	7.85515e-09	1.867000	9.21052e-10	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	1.867000	0         	
1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	9.38505e-09	1.868000	1.10306e-09	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	1.868000	0         	
1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	1.11686e-08	1.869000	1.31468e-09	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	1.869000	0         	
1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	1.32412e-08	1.870000	1.56145e-09	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	1.870000	0         	
