Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	9.50633   	1.900000	0.800795  	1.900000	9.50633   	
1.901000	0         	1.901000	9.50594   	1.901000	0.801187  	1.901000	9.50594   	
1.902000	0         	1.902000	9.50555   	1.902000	0.801578  	1.902000	9.50555   	
1.903000	0         	1.903000	9.50516   	1.903000	0.80197   	1.903000	9.50516   	
1.904000	0         	1.904000	9.50477   	1.904000	0.802361  	1.904000	9.50477   	
1.905000	0         	1.905000	9.50438   	1.905000	0.802753  	1.905000	9.50438   	
1.906000	0         	1.906000	9.50398   	1.906000	0.803144  	1.906000	9.50398   	
1.907000	0         	1.907000	9.50359   	1.907000	0.803535  	1.907000	9.50359   	
1.908000	0         	1.908000	9.5032    	1.908000	0.803926  	1.908000	9.5032    	
1.909000	0         	1.909000	9.50281   	1.909000	0.804317  	1.909000	9.50281   	
1.910000	0         	1.910000	9.50242   	1.910000	0.804708  	1.910000	9.50242   	
1.911000	0         	1.911000	9.50203   	1.911000	0.805099  	1.911000	9.50203   	
1.912000	0         	1.912000	9.50164   	1.912000	0.80549   	1.912000	9.50164   	
1.913000	0         	1.913000	9.50125   	1.913000	0.805881  	1.913000	9.50125   	
1.914000	0         	1.914000	9.50086   	1.914000	0.806271  	1.914000	9.50086   	
1.915000	0         	1.915000	9.50047   	1.915000	0.806662  	1.915000	9.50047   	
1.916000	0         	1.916000	9.50007   	1.916000	0.807053  	1.916000	9.50007   	
1.917000	0         	1.917000	9.49968   	1.917000	0.807444  	1.917000	9.49968   	
1.918000	0         	1.918000	9.49929   	1.918000	0.807834  	1.918000	9.49929   	
1.919000	0         	1.919000	9.4989    	1.919000	0.808225  	1.919000	9.4989    	
1.920000	0         	1.920000	9.49851   	1.920000	0.808616  	1.920000	9.49851   	
1.921000	0         	1.921000	9.49812   	1.921000	0.809007  	1.921000	9.49812   	
1.922000	0         	1.922000	9.49773   	1.922000	0.809397  	1.922000	9.49773   	
1.923000	0         	1.923000	9.49734   	1.923000	0.809788  	1.923000	9.49734   	
1.924000	0         	1.924000	9.49695   	1.924000	0.810178  	1.924000	9.49695   	
1.925000	0         	1.925000	9.49656   	1.925000	0.810569  	1.925000	9.49656   	
1.926000	0         	1.926000	9.49617   	1.926000	0.810959  	1.926000	9.49617   	
1.927000	0         	1.927000	9.49578   	1.927000	0.81135   	1.927000	9.49578   	
1.928000	0         	1.928000	9.49539   	1.928000	0.81174   	1.928000	9.49539   	
