Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	132.909   	1.900000	11.3196   	1.900000	132.909   	
1.901000	0         	1.901000	132.903   	1.901000	11.325    	1.901000	132.903   	
1.902000	0         	1.902000	132.898   	1.902000	11.3304   	1.902000	132.898   	
1.903000	0         	1.903000	132.893   	1.903000	11.3359   	1.903000	132.893   	
1.904000	0         	1.904000	132.887   	1.904000	11.3413   	1.904000	132.887   	
1.905000	0         	1.905000	132.882   	1.905000	11.3467   	1.905000	132.882   	
1.906000	0         	1.906000	132.876   	1.906000	11.3522   	1.906000	132.876   	
1.907000	0         	1.907000	132.871   	1.907000	11.3576   	1.907000	132.871   	
1.908000	0         	1.908000	132.865   	1.908000	11.363    	1.908000	132.865   	
1.909000	0         	1.909000	132.86    	1.909000	11.3685   	1.909000	132.86    	
1.910000	0         	1.910000	132.855   	1.910000	11.3739   	1.910000	132.855   	
1.911000	0         	1.911000	132.849   	1.911000	11.3793   	1.911000	132.849   	
1.912000	0         	1.912000	132.844   	1.912000	11.3848   	1.912000	132.844   	
1.913000	0         	1.913000	132.838   	1.913000	11.3902   	1.913000	132.838   	
1.914000	0         	1.914000	132.833   	1.914000	11.3956   	1.914000	132.833   	
1.915000	0         	1.915000	132.827   	1.915000	11.401    	1.915000	132.827   	
1.916000	0         	1.916000	132.822   	1.916000	11.4065   	1.916000	132.822   	
1.917000	0         	1.917000	132.817   	1.917000	11.4119   	1.917000	132.817   	
1.918000	0         	1.918000	132.811   	1.918000	11.4173   	1.918000	132.811   	
1.919000	0         	1.919000	132.806   	1.919000	11.4227   	1.919000	132.806   	
1.920000	0         	1.920000	132.8     	1.920000	11.4282   	1.920000	132.8     	
1.921000	0         	1.921000	132.795   	1.921000	11.4336   	1.921000	132.795   	
1.922000	0         	1.922000	132.789   	1.922000	11.439    	1.922000	132.789   	
1.923000	0         	1.923000	132.784   	1.923000	11.4444   	1.923000	132.784   	
1.924000	0         	1.924000	132.779   	1.924000	11.4498   	1.924000	132.779   	
1.925000	0         	1.925000	132.773   	1.925000	11.4553   	1.925000	132.773   	
1.926000	0         	1.926000	132.768   	1.926000	11.4607   	1.926000	132.768   	
1.927000	0         	1.927000	132.762   	1.927000	11.4661   	1.927000	132.762   	
1.928000	0         	1.928000	132.757   	1.928000	11.4715   	1.928000	132.757   	
1.929000	0         	1.929000	132.752   	1.929000	11.4769   	1.929000	132.752   	
1.930000	0         	1.930000	132.746   	1.930000	11.4823   	1.930000	132.746   	
1.931000	0         	1.931000	132.741   	1.931000	11.4877   	1.931000	132.741   	
1.932000	0         	1.932000	132.735   	1.932000	11.4931   	1.932000	132.735   	
1.933000	0         	1.933000	132.73    	1.933000	11.4986   	1.933000	132.73    	
1.934000	0         	1.934000	132.725   	1.934000	11.504    	1.934000	132.725   	
1.935000	0         	1.935000	132.719   	1.935000	11.5094   	1.935000	132.719   	
1.936000	0         	1.936000	132.714   	1.936000	11.5148   	1.936000	132.714   	
1.937000	0         	1.937000	132.708   	1.937000	11.5202   	1.937000	132.708   	
1.938000	0         	1.938000	132.703   	1.938000	11.5255   	1.938000	132.703   	
1.939000	0         	1.939000	132.698   	1.939000	11.5309   	1.939000	132.698   	
1.940000	0         	1.940000	132.692   	1.940000	11.5363   	1.940000	132.692   	
1.941000	0         	1.941000	132.687   	1.941000	11.5417   	1.941000	132.687   	
1.942000	0         	1.942000	132.681   	1.942000	11.5471   	1.942000	132.681   	
1.943000	0         	1.943000	132.676   	1.943000	11.5525   	1.943000	132.676   	
1.944000	0         	1.944000	132.671   	1.944000	11.5579   	1.944000	132.671   	
1.945000	0         	1.945000	132.665   	1.945000	11.5633   	1.945000	132.665   	
1.946000	0         	1.946000	132.66    	1.946000	11.5687   	1.946000	132.66    	
1.947000	0         	1.947000	132.654   	1.947000	11.5741   	1.947000	132.654   	
1.948000	0         	1.948000	132.649   	1.948000	11.5794   	1.948000	132.649   	
1.949000	0         	1.949000	132.644   	1.949000	11.5848   	1.949000	132.644   	
1.950000	0         	1.950000	132.638   	1.950000	11.5902   	1.950000	132.638   	
1.951000	0         	1.951000	132.633   	1.951000	11.5956   	1.951000	132.633   	
1.952000	0         	1.952000	132.628   	1.952000	11.601    	1.952000	132.628   	
1.953000	0         	1.953000	132.622   	1.953000	11.6063   	1.953000	132.622   	
1.954000	0         	1.954000	132.617   	1.954000	11.6117   	1.954000	132.617   	
1.955000	0         	1.955000	132.611   	1.955000	11.6171   	1.955000	132.611   	
1.956000	0         	1.956000	132.606   	1.956000	11.6225   	1.956000	132.606   	
1.957000	0         	1.957000	132.601   	1.957000	11.6278   	1.957000	132.601   	
1.958000	0         	1.958000	132.595   	1.958000	11.6332   	1.958000	132.595   	
1.959000	0         	1.959000	132.59    	1.959000	11.6385   	1.959000	132.59    	
1.960000	0         	1.960000	132.585   	1.960000	11.6439   	1.960000	132.585   	
1.961000	0         	1.961000	132.579   	1.961000	11.6493   	1.961000	132.579   	
1.962000	0         	1.962000	132.574   	1.962000	11.6546   	1.962000	132.574   	
1.963000	0         	1.963000	132.569   	1.963000	11.6599   	1.963000	132.569   	
1.964000	0         	1.964000	132.563   	1.964000	11.6652   	1.964000	132.563   	
1.965000	0         	1.965000	132.558   	1.965000	11.6705   	1.965000	132.558   	
1.966000	0         	1.966000	132.553   	1.966000	11.6758   	1.966000	132.553   	
1.967000	0         	1.967000	132.547   	1.967000	11.6811   	1.967000	132.547   	
1.968000	0         	1.968000	132.542   	1.968000	11.6864   	1.968000	132.542   	
1.969000	0         	1.969000	132.537   	1.969000	11.6917   	1.969000	132.537   	
1.970000	0         	1.970000	132.532   	1.970000	11.6969   	1.970000	132.532   	
1.971000	0         	1.971000	132.526   	1.971000	11.7022   	1.971000	132.526   	
1.972000	0         	1.972000	132.521   	1.972000	11.7075   	1.972000	132.521   	
1.973000	0         	1.973000	132.516   	1.973000	11.7128   	1.973000	132.516   	
1.974000	0         	1.974000	132.51    	1.974000	11.718    	1.974000	132.51    	
1.975000	0         	1.975000	132.505   	1.975000	11.7233   	1.975000	132.505   	
1.976000	0         	1.976000	132.5     	1.976000	11.7286   	1.976000	132.5     	
1.977000	0         	1.977000	132.495   	1.977000	11.7338   	1.977000	132.495   	
1.978000	0         	1.978000	132.489   	1.978000	11.7391   	1.978000	132.489   	
1.979000	0         	1.979000	132.484   	1.979000	11.7444   	1.979000	132.484   	
1.980000	0         	1.980000	132.479   	1.980000	11.7496   	1.980000	132.479   	
1.981000	0         	1.981000	132.474   	1.981000	11.7549   	1.981000	132.474   	
1.982000	0         	1.982000	132.468   	1.982000	11.7601   	1.982000	132.468   	
1.983000	0         	1.983000	132.463   	1.983000	11.7654   	1.983000	132.463   	
1.984000	0         	1.984000	132.458   	1.984000	11.7706   	1.984000	132.458   	
1.985000	0         	1.985000	132.453   	1.985000	11.7759   	1.985000	132.453   	
1.986000	0         	1.986000	132.447   	1.986000	11.7811   	1.986000	132.447   	
1.987000	0         	1.987000	132.442   	1.987000	11.7863   	1.987000	132.442   	
1.988000	0         	1.988000	132.437   	1.988000	11.7916   	1.988000	132.437   	
1.989000	0         	1.989000	132.432   	1.989000	11.7968   	1.989000	132.432   	
1.990000	0         	1.990000	132.426   	1.990000	11.802    	1.990000	132.426   	
1.991000	0         	1.991000	132.421   	1.991000	11.8073   	1.991000	132.421   	
1.992000	0         	1.992000	132.416   	1.992000	11.8125   	1.992000	132.416   	
1.993000	0         	1.993000	132.411   	1.993000	11.8177   	1.993000	132.411   	
1.994000	0         	1.994000	132.406   	1.994000	11.8229   	1.994000	132.406   	
1.995000	0         	1.995000	132.4     	1.995000	11.8282   	1.995000	132.4     	
1.996000	0         	1.996000	132.395   	1.996000	11.8334   	1.996000	132.395   	
1.997000	0         	1.997000	132.39    	1.997000	11.8386   	1.997000	132.39    	
1.998000	0         	1.998000	132.385   	1.998000	11.8438   	1.998000	132.385   	
1.999000	0         	1.999000	132.38    	1.999000	11.849    	1.999000	132.38    	
2.000000	0         	2.000000	132.374   	2.000000	11.8542   	2.000000	132.374   	
2.001000	0         	2.001000	132.369   	2.001000	11.8594   	2.001000	132.369   	
2.002000	0         	2.002000	132.364   	2.002000	11.8646   	2.002000	132.364   	
2.003000	0         	2.003000	132.359   	2.003000	11.8698   	2.003000	132.359   	
2.004000	0         	2.004000	132.354   	2.004000	11.8749   	2.004000	132.354   	
2.005000	0         	2.005000	132.348   	2.005000	11.8801   	2.005000	132.348   	
2.006000	0         	2.006000	132.343   	2.006000	11.8853   	2.006000	132.343   	
2.007000	0         	2.007000	132.338   	2.007000	11.8905   	2.007000	132.338   	
2.008000	0         	2.008000	132.333   	2.008000	11.8956   	2.008000	132.333   	
2.009000	0         	2.009000	132.328   	2.009000	11.9008   	2.009000	132.328   	
2.010000	0         	2.010000	132.323   	2.010000	11.9059   	2.010000	132.323   	
2.011000	0         	2.011000	132.317   	2.011000	11.9111   	2.011000	132.317   	
2.012000	0         	2.012000	132.312   	2.012000	11.9162   	2.012000	132.312   	
2.013000	0         	2.013000	132.307   	2.013000	11.9214   	2.013000	132.307   	
2.014000	0         	2.014000	132.302   	2.014000	11.9265   	2.014000	132.302   	
2.015000	0         	2.015000	132.297   	2.015000	11.9317   	2.015000	132.297   	
2.016000	0         	2.016000	132.292   	2.016000	11.9368   	2.016000	132.292   	
2.017000	0         	2.017000	132.287   	2.017000	11.9419   	2.017000	132.287   	
2.018000	0         	2.018000	132.281   	2.018000	11.947    	2.018000	132.281   	
2.019000	0         	2.019000	132.276   	2.019000	11.9522   	2.019000	132.276   	
2.020000	0         	2.020000	132.271   	2.020000	11.9573   	2.020000	132.271   	
2.021000	0         	2.021000	132.266   	2.021000	11.9624   	2.021000	132.266   	
2.022000	0         	2.022000	132.261   	2.022000	11.9675   	2.022000	132.261   	
2.023000	0         	2.023000	132.256   	2.023000	11.9726   	2.023000	132.256   	
2.024000	0         	2.024000	132.251   	2.024000	11.9777   	2.024000	132.251   	
2.025000	0         	2.025000	132.246   	2.025000	11.9828   	2.025000	132.246   	
2.026000	0         	2.026000	132.241   	2.026000	11.9878   	2.026000	132.241   	
2.027000	0         	2.027000	132.236   	2.027000	11.9929   	2.027000	132.236   	
2.028000	0         	2.028000	132.231   	2.028000	11.998    	2.028000	132.231   	
2.029000	0         	2.029000	132.225   	2.029000	12.003    	2.029000	132.225   	
2.030000	0         	2.030000	132.22    	2.030000	12.0081   	2.030000	132.22    	
2.031000	0         	2.031000	132.215   	2.031000	12.0132   	2.031000	132.215   	
2.032000	0         	2.032000	132.21    	2.032000	12.0182   	2.032000	132.21    	
2.033000	0         	2.033000	132.205   	2.033000	12.0232   	2.033000	132.205   	
2.034000	0         	2.034000	132.2     	2.034000	12.0282   	2.034000	132.2     	
